Time,Range,Magnitude
1275.961,118.0,3129.0
1276.034,118.0,3097.0
1276.098,118.0,3123.0
1276.162,118.0,3128.0
1276.225,118.0,3096.0
1276.289,118.0,3135.0
1276.353,118.0,3106.0
1276.417,118.0,3103.0
1276.481,118.0,3128.0
1276.545,118.0,3103.0
1276.609,118.0,3104.0
1276.673,118.0,3117.0
1276.737,118.0,3109.0
1276.801,118.0,3107.0
1276.865,118.0,3105.0
1276.929,118.0,3115.0
1277.001,118.0,3112.0
1277.064,118.0,3100.0
1277.128,118.0,3120.0
1277.191,118.0,3099.0
1277.255,118.0,3112.0
1277.319,118.0,3118.0
1277.383,118.0,3101.0
1277.447,118.0,3116.0
1277.51,118.0,3118.0
1277.573,118.0,3101.0
1277.636,118.0,3121.0
1277.699,118.0,3108.0
1277.762,118.0,3111.0
1277.825,118.0,3108.0
1277.889,118.0,3104.0
1277.953,118.0,3118.0
1278.025,118.0,3101.0
1278.089,118.0,3107.0
1278.153,118.0,3114.0
1278.217,118.0,3099.0
1278.28,118.0,3119.0
1278.343,118.0,3112.0
1278.406,118.0,3101.0
1278.47,118.0,3128.0
1278.534,118.0,3091.0
1278.598,118.0,3112.0
1278.662,118.0,3119.0
1278.726,118.0,3093.0
1278.79,118.0,3119.0
1278.854,118.0,3111.0
1278.918,118.0,3093.0
1278.982,118.0,3131.0
1279.056,118.0,3099.0
1279.12,118.0,3094.0
1279.184,118.0,3140.0
1279.247,118.0,3087.0
1279.311,118.0,3107.0
1279.375,118.0,3131.0
1279.438,118.0,3092.0
1279.501,118.0,3110.0
1279.564,118.0,3133.0
1279.627,118.0,3084.0
1279.69,118.0,3119.0
1279.753,118.0,3124.0
1279.817,118.0,3085.0
1279.881,118.0,3124.0
1279.945,118.0,3110.0
1280.018,118.0,3091.0
1280.082,118.0,3117.0
1280.146,118.0,3104.0
1280.21,118.0,3102.0
1280.274,118.0,3112.0
1280.337,118.0,3107.0
1280.401,118.0,3113.0
1280.465,118.0,3104.0
1280.529,118.0,3109.0
1280.593,118.0,3111.0
1280.657,118.0,3092.0
1280.72,118.0,3119.0
1280.783,118.0,3106.0
1280.846,118.0,3099.0
1280.91,118.0,3114.0
1280.974,118.0,3096.0
1281.048,118.0,3112.0
1281.112,118.0,3111.0
1281.176,118.0,3091.0
1281.24,118.0,3119.0
1281.304,118.0,3106.0
1281.368,118.0,3098.0
1281.432,118.0,3118.0
1281.496,118.0,3093.0
1281.56,118.0,3110.0
1281.624,118.0,3103.0
1281.688,118.0,3089.0
1281.752,118.0,3111.0
1281.816,118.0,3100.0
1281.88,118.0,3103.0
1281.943,118.0,3103.0
1282.015,118.0,3098.0
1282.078,118.0,3109.0
1282.141,118.0,3103.0
1282.204,118.0,3103.0
1282.268,118.0,3101.0
1282.332,118.0,3096.0
1282.396,118.0,3099.0
1282.459,118.0,3094.0
1282.523,118.0,3103.0
1282.587,118.0,3100.0
1282.651,118.0,3090.0
1282.715,118.0,3106.0
1282.779,118.0,3096.0
1282.843,118.0,3091.0
1282.907,118.0,3105.0
1282.971,118.0,3092.0
1283.045,118.0,3092.0
1283.109,118.0,3104.0
1283.172,118.0,3093.0
1283.235,118.0,3089.0
1283.298,118.0,3108.0
1283.361,118.0,3089.0
1283.425,118.0,3091.0
1283.489,118.0,3114.0
1283.553,118.0,3082.0
1283.617,118.0,3097.0
1283.681,118.0,3114.0
1283.745,118.0,3080.0
1283.809,118.0,3108.0
1283.873,118.0,3106.0
1283.937,118.0,3086.0
1284.011,118.0,3110.0
1284.074,118.0,3097.0
1284.137,118.0,3101.0
1284.201,118.0,3104.0
1284.265,118.0,3099.0
1284.328,118.0,3109.0
1284.391,118.0,3092.0
1284.454,118.0,3119.0
1284.517,118.0,3098.0
1284.58,118.0,3097.0
1284.644,118.0,3113.0
1284.708,118.0,3097.0
1284.772,118.0,3104.0
1284.835,118.0,3110.0
1284.899,118.0,3095.0
1284.963,118.0,3106.0
1285.036,118.0,3100.0
1285.1,118.0,3102.0
1285.163,118.0,3106.0
1285.227,118.0,3098.0
1285.291,118.0,3106.0
1285.355,118.0,3101.0
1285.419,118.0,3101.0
1285.483,118.0,3102.0
1285.547,118.0,3099.0
1285.61,118.0,3110.0
1285.673,118.0,3096.0
1285.736,118.0,3105.0
1285.799,118.0,3106.0
1285.862,118.0,3095.0
1285.926,118.0,3109.0
1285.99,118.0,3096.0
1286.062,118.0,3097.0
1286.126,118.0,3105.0
1286.19,118.0,3095.0
1286.254,118.0,3104.0
1286.317,118.0,3093.0
1286.38,118.0,3107.0
1286.444,118.0,3096.0
1286.508,118.0,3093.0
1286.572,118.0,3110.0
1286.636,118.0,3089.0
1286.7,118.0,3103.0
1286.764,118.0,3103.0
1286.828,118.0,3090.0
1286.891,118.0,3105.0
1286.954,118.0,3101.0
1287.026,118.0,3087.0
1287.089,118.0,3105.0
1287.152,118.0,3101.0
1287.216,118.0,3095.0
1287.28,118.0,3105.0
1287.344,118.0,3093.0
1287.407,118.0,3100.0
1287.47,118.0,3101.0
1287.534,118.0,3099.0
1287.598,118.0,3099.0
1287.662,118.0,3095.0
1287.726,118.0,3097.0
1287.79,118.0,3099.0
1287.854,118.0,3090.0
1287.918,118.0,3103.0
1287.981,118.0,3095.0
1288.054,118.0,3088.0
1288.117,118.0,3107.0
1288.18,118.0,3088.0
1288.243,118.0,3092.0
1288.306,118.0,3106.0
1288.369,118.0,3084.0
1288.433,118.0,3100.0
1288.497,118.0,3102.0
1288.561,118.0,3089.0
1288.625,118.0,3103.0
1288.689,118.0,3095.0
1288.753,118.0,3091.0
1288.817,118.0,3105.0
1288.881,118.0,3083.0
1288.945,118.0,3099.0
1289.019,118.0,3097.0
