Time,Range,Magnitude
377.265,123.0,3813.0
377.328,123.0,3818.0
377.391,123.0,3803.0
377.455,123.0,3800.0
377.519,122.0,3746.0
377.583,122.0,3756.0
377.647,122.0,3733.0
377.71,122.0,3721.0
377.774,122.0,3719.0
377.838,122.0,3688.0
377.902,122.0,3727.0
377.966,122.0,3717.0
378.037,122.0,3663.0
378.101,122.0,3745.0
378.165,122.0,3691.0
378.229,122.0,3677.0
378.293,122.0,3747.0
378.357,122.0,3675.0
378.421,122.0,3702.0
378.485,122.0,3723.0
378.548,122.0,3674.0
378.611,122.0,3704.0
378.675,122.0,3711.0
378.738,122.0,3676.0
378.802,122.0,3703.0
378.866,122.0,3706.0
378.929,122.0,3680.0
379.002,122.0,3701.0
379.066,122.0,3704.0
379.13,122.0,3676.0
379.194,122.0,3705.0
379.258,122.0,3696.0
379.322,122.0,3685.0
379.386,122.0,3704.0
379.45,122.0,3685.0
379.514,122.0,3686.0
379.578,122.0,3702.0
379.642,122.0,3686.0
379.706,122.0,3687.0
379.77,122.0,3700.0
379.833,122.0,3684.0
379.896,122.0,3686.0
379.96,122.0,3695.0
380.032,122.0,3689.0
380.096,122.0,3686.0
380.16,122.0,3695.0
380.224,122.0,3685.0
380.288,122.0,3687.0
380.352,122.0,3694.0
380.416,122.0,3680.0
380.48,122.0,3696.0
380.544,122.0,3686.0
380.607,122.0,3680.0
380.671,122.0,3700.0
380.735,122.0,3675.0
380.799,122.0,3689.0
380.863,122.0,3688.0
380.927,122.0,3672.0
381.001,122.0,3691.0
381.065,122.0,3680.0
381.128,122.0,3683.0
381.191,122.0,3688.0
381.254,122.0,3684.0
381.317,122.0,3683.0
381.381,122.0,3679.0
381.444,122.0,3680.0
381.507,122.0,3675.0
381.57,122.0,3686.0
381.633,122.0,3685.0
381.697,122.0,3678.0
381.761,122.0,3685.0
381.825,122.0,3680.0
381.889,122.0,3685.0
381.953,122.0,3685.0
382.026,122.0,3681.0
382.09,122.0,3687.0
382.154,122.0,3679.0
382.218,122.0,3677.0
382.282,122.0,3681.0
382.345,122.0,3678.0
382.408,122.0,3679.0
382.471,122.0,3682.0
382.534,122.0,3677.0
382.597,122.0,3683.0
382.661,122.0,3675.0
382.725,122.0,3678.0
382.789,122.0,3684.0
382.853,122.0,3673.0
382.917,122.0,3687.0
382.981,122.0,3667.0
383.055,122.0,3692.0
383.119,122.0,3681.0
383.183,122.0,3681.0
383.247,122.0,3659.0
383.311,122.0,3635.0
383.375,122.0,3771.0
383.439,121.0,3551.0
383.503,122.0,3658.0
383.567,122.0,3674.0
383.631,122.0,3699.0
383.694,122.0,3681.0
383.757,122.0,3641.0
383.82,122.0,3682.0
383.883,122.0,3779.0
383.947,121.0,3472.0
384.02,122.0,3705.0
384.084,121.0,3607.0
384.148,121.0,3654.0
384.214,121.0,3444.0
384.28,120.0,3247.0
384.346,123.0,3858.0
384.412,122.0,3661.0
384.476,123.0,3748.0
384.54,120.0,2597.0
384.606,127.0,2132.0
384.672,61.0,3491.0
384.737,60.0,3468.0
384.803,61.0,5631.0
384.868,63.0,6736.0
384.932,62.0,10324.0
385.004,60.0,8168.0
385.067,63.0,10954.0
385.132,61.0,13978.0
385.197,62.0,11334.0
385.263,60.0,14364.0
385.328,156.0,1486.0
385.393,60.0,2176.0
385.459,95.0,8537.0
385.525,94.0,10494.0
385.591,92.0,11870.0
385.657,95.0,4120.0
385.722,93.0,13143.0
385.787,128.0,2641.0
385.853,126.0,4239.0
385.918,122.0,1712.0
385.984,126.0,1830.0
386.059,92.0,4726.0
386.125,123.0,2666.0
386.189,127.0,6032.0
386.252,59.0,2960.0
386.315,92.0,6743.0
386.378,92.0,7225.0
386.441,127.0,8403.0
386.505,126.0,8222.0
386.569,126.0,6998.0
386.633,128.0,8826.0
386.697,91.0,9138.0
386.761,125.0,5031.0
386.825,127.0,7175.0
386.889,127.0,7465.0
386.953,126.0,7807.0
387.026,126.0,7800.0
387.09,126.0,7126.0
387.153,127.0,6115.0
387.217,128.0,5853.0
387.28,91.0,6533.0
387.344,92.0,8032.0
387.408,91.0,8730.0
387.471,91.0,8761.0
387.534,91.0,8727.0
387.597,91.0,8988.0
387.66,91.0,8568.0
387.723,128.0,8128.0
387.786,128.0,7688.0
387.85,128.0,7200.0
387.914,128.0,6904.0
387.978,128.0,6881.0
388.052,128.0,7195.0
388.116,91.0,7706.0
388.18,91.0,8094.0
388.244,91.0,8239.0
388.308,92.0,8264.0
388.372,92.0,8815.0
388.436,92.0,9750.0
388.5,92.0,10331.0
388.564,92.0,10662.0
388.628,92.0,10228.0
388.692,92.0,9198.0
388.756,91.0,7234.0
388.82,128.0,6000.0
388.883,128.0,5144.0
