Time,Range,Magnitude
9.763,437.0,1005.0
9.827,437.0,1004.0
9.891,437.0,1005.0
9.955,437.0,1007.0
10.028,437.0,999.0
10.091,437.0,1001.0
10.154,437.0,998.0
10.217,437.0,1000.0
10.28,437.0,1001.0
10.343,437.0,1001.0
10.407,437.0,1004.0
10.471,437.0,1007.0
10.535,437.0,1003.0
10.599,437.0,1005.0
10.663,437.0,1007.0
10.726,437.0,1006.0
10.789,437.0,1007.0
10.852,437.0,1006.0
10.916,437.0,1005.0
10.979,437.0,1007.0
11.053,437.0,1005.0
11.116,437.0,1006.0
11.179,437.0,1003.0
11.242,437.0,1011.0
11.305,437.0,1003.0
11.368,437.0,1005.0
11.431,437.0,1005.0
11.494,437.0,1002.0
11.557,437.0,1000.0
11.62,437.0,1004.0
11.683,437.0,996.0
11.746,437.0,998.0
11.809,437.0,998.0
11.872,437.0,985.0
11.935,437.0,990.0
12.008,437.0,1002.0
12.072,437.0,996.0
12.135,437.0,1001.0
12.199,437.0,999.0
12.262,437.0,987.0
12.325,437.0,978.0
12.389,437.0,976.0
12.453,437.0,967.0
12.516,437.0,972.0
12.579,437.0,986.0
12.642,437.0,985.0
12.705,437.0,970.0
12.768,437.0,1009.0
12.832,437.0,994.0
12.896,437.0,985.0
12.96,437.0,977.0
13.033,437.0,991.0
13.097,437.0,981.0
13.161,437.0,985.0
13.225,437.0,985.0
13.289,437.0,991.0
13.353,437.0,990.0
13.417,437.0,966.0
13.481,437.0,966.0
13.544,437.0,977.0
13.608,437.0,984.0
13.672,437.0,1002.0
13.735,437.0,991.0
13.799,437.0,978.0
13.863,437.0,989.0
13.926,437.0,981.0
14.989,437.0,977.0
14.062,437.0,988.0
14.126,437.0,989.0
14.19,437.0,993.0
14.254,437.0,988.0
14.317,437.0,981.0
14.38,437.0,995.0
14.444,437.0,990.0
14.508,437.0,986.0
14.572,437.0,988.0
14.636,437.0,986.0
14.7,437.0,993.0
14.764,437.0,982.0
14.827,437.0,983.0
14.891,437.0,991.0
14.955,437.0,986.0
15.027,437.0,987.0
15.091,437.0,989.0
15.154,437.0,991.0
15.217,437.0,991.0
15.28,437.0,990.0
15.343,437.0,985.0
15.406,437.0,989.0
15.47,437.0,983.0
15.534,437.0,983.0
15.598,437.0,982.0
15.662,437.0,984.0
15.726,437.0,978.0
15.79,437.0,981.0
15.854,437.0,975.0
15.918,437.0,974.0
15.982,437.0,982.0
16.056,437.0,945.0
16.12,437.0,927.0
16.184,437.0,957.0
16.248,437.0,953.0
16.311,437.0,942.0
16.375,437.0,953.0
16.439,437.0,944.0
16.502,437.0,949.0
16.565,437.0,957.0
16.628,437.0,938.0
16.691,437.0,950.0
16.755,437.0,959.0
16.819,437.0,948.0
16.883,437.0,942.0
16.946,437.0,955.0
17.018,437.0,956.0
17.081,437.0,938.0
17.144,437.0,951.0
17.207,437.0,956.0
17.27,437.0,946.0
17.334,437.0,952.0
17.397,437.0,944.0
17.461,437.0,940.0
17.525,437.0,951.0
17.588,437.0,943.0
17.652,437.0,936.0
17.716,437.0,953.0
17.779,437.0,949.0
17.842,437.0,945.0
17.905,437.0,946.0
17.969,437.0,951.0
18.043,437.0,955.0
18.107,437.0,948.0
18.171,437.0,938.0
18.235,437.0,947.0
18.298,437.0,957.0
18.361,437.0,947.0
18.425,437.0,949.0
18.489,437.0,947.0
18.553,437.0,952.0
18.617,437.0,946.0
18.681,437.0,953.0
18.745,437.0,949.0
18.808,437.0,950.0
18.871,437.0,948.0
18.934,437.0,945.0
19.007,437.0,945.0
19.071,437.0,961.0
19.134,437.0,945.0
19.197,437.0,955.0
19.26,437.0,947.0
19.323,437.0,957.0
19.387,437.0,955.0
19.451,438.0,941.0
19.515,437.0,957.0
19.579,438.0,922.0
19.643,437.0,964.0
19.707,438.0,928.0
19.771,438.0,926.0
19.835,437.0,983.0
19.899,438.0,923.0
19.963,437.0,972.0
20.037,438.0,933.0
20.101,438.0,893.0
20.165,437.0,948.0
20.229,437.0,964.0
20.292,437.0,963.0
20.355,438.0,902.0
20.418,437.0,1021.0
20.481,437.0,1215.0
20.544,437.0,959.0
20.608,437.0,1030.0
20.674,437.0,845.0
20.739,437.0,851.0
20.805,63.0,1222.0
20.87,61.0,1162.0
20.935,439.0,772.0
21.007,62.0,1454.0
21.071,127.0,1261.0
21.135,61.0,4808.0
21.198,59.0,1303.0
21.262,62.0,3952.0
21.326,62.0,4256.0
21.39,61.0,13632.0
21.456,61.0,10568.0
21.521,63.0,11609.0
21.585,60.0,7909.0
21.649,95.0,6103.0
21.713,61.0,14263.0
21.778,59.0,14050.0
21.843,59.0,14530.0
21.909,95.0,10024.0
21.975,95.0,14613.0
22.049,93.0,5323.0
22.115,61.0,1288.0
22.181,92.0,8404.0
22.247,126.0,5747.0
22.313,126.0,2407.0
22.379,93.0,2187.0
22.445,126.0,3885.0
22.51,156.0,1038.0
22.575,127.0,3302.0
22.64,128.0,4716.0
22.704,128.0,2630.0
22.768,127.0,6043.0
22.832,92.0,7261.0
22.895,92.0,4922.0
22.958,128.0,2798.0
23.031,119.0,1397.0
23.095,128.0,4124.0
23.159,92.0,6290.0
23.223,128.0,6171.0
23.286,126.0,4745.0
23.349,123.0,4044.0
23.412,124.0,4979.0
23.476,125.0,5324.0
23.539,126.0,5538.0
23.603,127.0,6009.0
23.667,92.0,6460.0
23.731,92.0,6745.0
23.795,92.0,6958.0
23.859,92.0,7141.0
23.922,93.0,6788.0
23.986,93.0,6319.0
24.059,93.0,5726.0
24.123,93.0,5244.0
24.186,93.0,4832.0
24.249,93.0,4811.0
24.312,93.0,4995.0
24.375,93.0,4876.0
24.438,93.0,4265.0
24.502,93.0,3535.0
24.566,93.0,3400.0
24.63,93.0,3919.0
24.694,93.0,3036.0
24.758,62.0,1230.0
24.822,126.0,1559.0
24.886,128.0,3002.0
24.95,92.0,3901.0
25.024,92.0,4521.0
25.088,92.0,4878.0
25.151,92.0,4995.0
25.215,92.0,4565.0
25.279,128.0,4252.0
25.343,128.0,4066.0
25.406,127.0,3918.0
25.469,127.0,3966.0
25.532,126.0,3646.0
25.595,125.0,3123.0
25.659,124.0,2508.0
25.723,120.0,1760.0
25.787,114.0,1230.0
25.85,114.0,1300.0
25.914,159.0,951.0
25.978,157.0,694.0
26.051,186.0,334.0
26.114,63.0,648.0
26.178,61.0,803.0
26.242,59.0,1220.0
26.306,130.0,1649.0
26.37,130.0,1378.0
26.434,62.0,625.0
26.498,112.0,620.0
26.562,121.0,1686.0
26.626,123.0,2097.0
