Time,Range,Magnitude
852.912,119.0,3251.0
852.976,118.0,3234.0
853.05,119.0,3250.0
853.114,119.0,3276.0
853.178,118.0,3223.0
853.242,118.0,3238.0
853.306,119.0,3281.0
853.369,118.0,3226.0
853.433,118.0,3238.0
853.497,119.0,3266.0
853.561,119.0,3248.0
853.625,118.0,3232.0
853.689,119.0,3251.0
853.753,119.0,3258.0
853.816,118.0,3229.0
853.88,119.0,3245.0
853.943,119.0,3266.0
854.014,118.0,3221.0
854.077,119.0,3252.0
854.14,119.0,3263.0
854.204,118.0,3226.0
854.268,119.0,3249.0
854.332,119.0,3258.0
854.396,118.0,3238.0
854.46,118.0,3236.0
854.524,119.0,3255.0
854.588,119.0,3256.0
854.652,118.0,3228.0
854.716,119.0,3249.0
854.78,119.0,3253.0
854.843,118.0,3230.0
854.906,119.0,3248.0
854.97,119.0,3252.0
855.043,118.0,3241.0
855.107,119.0,3247.0
855.17,119.0,3251.0
855.233,118.0,3241.0
855.296,118.0,3240.0
855.359,119.0,3253.0
855.423,118.0,3244.0
855.486,118.0,3238.0
855.55,119.0,3251.0
855.614,119.0,3246.0
855.678,118.0,3233.0
855.742,119.0,3246.0
855.805,119.0,3247.0
855.869,118.0,3240.0
855.933,118.0,3238.0
856.006,119.0,3250.0
856.07,118.0,3238.0
856.134,118.0,3244.0
856.198,119.0,3247.0
856.262,118.0,3241.0
856.326,118.0,3242.0
856.389,119.0,3249.0
856.452,118.0,3242.0
856.515,118.0,3240.0
856.578,119.0,3246.0
856.642,118.0,3241.0
856.706,118.0,3239.0
856.77,118.0,3236.0
856.834,118.0,3242.0
856.898,118.0,3234.0
856.962,118.0,3242.0
857.035,118.0,3243.0
857.099,118.0,3238.0
857.163,118.0,3240.0
857.227,119.0,3245.0
857.291,118.0,3239.0
857.355,118.0,3243.0
857.418,118.0,3243.0
857.482,118.0,3238.0
857.546,118.0,3243.0
857.61,118.0,3242.0
857.673,118.0,3239.0
857.736,118.0,3239.0
857.799,118.0,3241.0
857.862,118.0,3242.0
857.926,118.0,3236.0
858.0,118.0,3243.0
858.064,118.0,3238.0
858.128,118.0,3239.0
858.191,118.0,3241.0
858.255,118.0,3241.0
858.319,118.0,3237.0
858.383,118.0,3241.0
858.447,118.0,3240.0
858.511,118.0,3236.0
858.575,118.0,3238.0
858.639,118.0,3240.0
858.703,118.0,3236.0
858.767,118.0,3235.0
858.831,118.0,3237.0
858.895,118.0,3237.0
858.958,118.0,3235.0
859.031,118.0,3237.0
859.094,118.0,3238.0
859.158,118.0,3237.0
859.222,118.0,3242.0
859.286,118.0,3240.0
859.349,118.0,3238.0
859.412,118.0,3241.0
859.476,118.0,3240.0
859.54,118.0,3238.0
859.604,118.0,3238.0
859.668,118.0,3238.0
859.731,118.0,3236.0
859.794,118.0,3235.0
859.857,118.0,3238.0
859.921,118.0,3238.0
859.985,118.0,3234.0
860.058,118.0,3237.0
860.122,118.0,3237.0
860.185,118.0,3235.0
860.248,118.0,3236.0
860.311,118.0,3237.0
860.374,118.0,3240.0
860.438,118.0,3239.0
860.502,118.0,3235.0
860.566,118.0,3235.0
860.63,118.0,3235.0
860.694,118.0,3238.0
860.758,118.0,3235.0
860.822,118.0,3236.0
860.885,118.0,3235.0
860.949,118.0,3236.0
861.021,118.0,3235.0
861.085,118.0,3238.0
861.149,118.0,3238.0
861.213,118.0,3237.0
861.277,118.0,3237.0
861.341,118.0,3239.0
861.405,118.0,3234.0
861.468,118.0,3235.0
861.531,118.0,3233.0
861.594,118.0,3236.0
861.657,118.0,3235.0
861.721,118.0,3235.0
861.784,118.0,3236.0
861.848,118.0,3233.0
861.912,118.0,3236.0
861.976,118.0,3236.0
862.05,118.0,3235.0
862.114,118.0,3234.0
862.178,118.0,3235.0
862.242,118.0,3234.0
862.306,118.0,3234.0
862.369,118.0,3235.0
862.433,118.0,3235.0
862.497,118.0,3235.0
862.561,118.0,3235.0
862.625,118.0,3232.0
862.689,118.0,3236.0
862.752,118.0,3237.0
862.815,118.0,3234.0
862.878,118.0,3234.0
862.941,118.0,3233.0
863.014,118.0,3234.0
863.078,118.0,3234.0
863.142,118.0,3232.0
863.206,118.0,3235.0
863.27,118.0,3233.0
863.334,118.0,3234.0
863.397,118.0,3234.0
863.46,118.0,3233.0
863.524,118.0,3231.0
863.588,118.0,3231.0
863.652,118.0,3231.0
863.716,118.0,3234.0
863.78,118.0,3233.0
863.844,118.0,3233.0
863.908,118.0,3230.0
863.971,118.0,3232.0
864.044,118.0,3233.0
864.107,118.0,3232.0
864.17,118.0,3234.0
864.234,118.0,3233.0
864.298,118.0,3231.0
864.362,118.0,3231.0
864.426,118.0,3230.0
864.49,118.0,3232.0
864.554,118.0,3230.0
864.618,118.0,3231.0
864.681,118.0,3233.0
864.745,118.0,3233.0
864.809,118.0,3233.0
864.873,118.0,3231.0
864.937,118.0,3231.0
865.009,118.0,3233.0
865.073,118.0,3232.0
865.137,118.0,3231.0
865.2,118.0,3229.0
865.263,118.0,3229.0
865.326,118.0,3229.0
865.389,118.0,3229.0
865.452,118.0,3228.0
865.516,118.0,3230.0
865.58,118.0,3229.0
865.644,118.0,3235.0
865.708,118.0,3230.0
865.772,118.0,3229.0
865.836,118.0,3232.0
865.9,118.0,3230.0
865.964,118.0,3233.0
866.038,118.0,3231.0
866.102,118.0,3231.0
866.166,118.0,3231.0
866.23,118.0,3231.0
866.294,118.0,3229.0
866.358,118.0,3230.0
866.422,118.0,3229.0
866.485,118.0,3228.0
866.548,118.0,3230.0
866.611,118.0,3229.0
866.674,118.0,3230.0
866.738,118.0,3228.0
866.802,118.0,3230.0
866.866,118.0,3228.0
866.93,118.0,3228.0
867.004,118.0,3230.0
867.068,118.0,3228.0
867.132,118.0,3229.0
867.196,118.0,3229.0
867.26,118.0,3228.0
867.324,118.0,3227.0
867.388,118.0,3228.0
867.452,118.0,3229.0
867.516,118.0,3231.0
867.58,118.0,3228.0
867.644,118.0,3226.0
867.708,118.0,3228.0
867.771,118.0,3225.0
867.834,118.0,3228.0
867.897,118.0,3227.0
867.96,118.0,3226.0
868.033,118.0,3227.0
868.097,118.0,3226.0
868.161,118.0,3227.0
868.225,118.0,3225.0
868.289,118.0,3225.0
868.353,118.0,3228.0
868.417,118.0,3229.0
868.481,118.0,3226.0
868.545,118.0,3225.0
868.609,118.0,3225.0
868.673,118.0,3229.0
868.737,118.0,3228.0
868.801,118.0,3226.0
868.865,118.0,3226.0
868.929,118.0,3226.0
869.001,118.0,3225.0
869.064,118.0,3225.0
869.127,118.0,3227.0
869.19,118.0,3224.0
869.253,118.0,3224.0
869.317,118.0,3227.0
869.381,118.0,3226.0
869.445,118.0,3227.0
869.509,118.0,3227.0
869.573,118.0,3223.0
869.636,118.0,3226.0
869.7,118.0,3227.0
869.763,118.0,3223.0
869.826,118.0,3225.0
869.89,118.0,3227.0
869.954,118.0,3226.0
870.028,118.0,3226.0
870.092,118.0,3225.0
870.156,118.0,3225.0
870.22,118.0,3224.0
870.283,118.0,3222.0
870.346,118.0,3227.0
870.409,118.0,3224.0
870.473,118.0,3224.0
870.537,118.0,3226.0
870.601,118.0,3225.0
870.665,118.0,3224.0
870.729,118.0,3224.0
870.793,118.0,3225.0
870.857,118.0,3223.0
870.92,118.0,3224.0
870.983,118.0,3224.0
871.056,118.0,3223.0
871.119,118.0,3223.0
871.182,118.0,3225.0
871.245,118.0,3221.0
871.309,118.0,3224.0
