Time,Range,Magnitude
698.114,123.0,5733.0
698.178,123.0,5746.0
698.241,123.0,5759.0
698.304,123.0,5765.0
698.368,123.0,5754.0
698.432,123.0,5764.0
698.495,123.0,5774.0
698.559,123.0,5734.0
698.623,123.0,5774.0
698.686,123.0,5776.0
698.75,123.0,5740.0
698.814,123.0,5777.0
698.878,123.0,5763.0
698.941,123.0,5755.0
699.015,123.0,5771.0
699.079,123.0,5759.0
699.142,123.0,5760.0
699.205,123.0,5781.0
699.268,123.0,5761.0
699.331,123.0,5758.0
699.394,123.0,5778.0
699.457,123.0,5757.0
699.521,123.0,5762.0
699.584,123.0,5774.0
699.648,123.0,5762.0
699.712,123.0,5776.0
699.776,123.0,5768.0
699.84,123.0,5759.0
699.903,123.0,5774.0
699.966,123.0,5772.0
700.038,123.0,5767.0
700.101,123.0,5767.0
700.165,123.0,5767.0
700.229,123.0,5776.0
700.293,123.0,5768.0
700.356,123.0,5773.0
700.419,123.0,5771.0
700.482,123.0,5775.0
700.545,123.0,5770.0
700.608,123.0,5768.0
700.671,123.0,5777.0
700.734,123.0,5775.0
700.798,123.0,5767.0
700.862,123.0,5775.0
700.925,123.0,5774.0
700.988,123.0,5769.0
701.062,123.0,5778.0
701.126,123.0,5773.0
701.19,123.0,5773.0
701.253,123.0,5775.0
701.317,123.0,5773.0
701.381,123.0,5774.0
701.445,123.0,5776.0
701.508,123.0,5772.0
701.571,123.0,5774.0
701.634,123.0,5775.0
701.697,123.0,5774.0
701.76,123.0,5777.0
701.823,123.0,5776.0
701.886,123.0,5775.0
701.95,123.0,5779.0
702.024,123.0,5776.0
702.087,123.0,5771.0
702.15,123.0,5774.0
702.214,123.0,5771.0
702.278,123.0,5775.0
702.342,123.0,5772.0
702.405,123.0,5773.0
702.469,123.0,5777.0
702.533,123.0,5775.0
702.596,123.0,5777.0
702.66,123.0,5778.0
702.724,123.0,5781.0
702.788,123.0,5780.0
702.851,123.0,5780.0
702.915,123.0,5781.0
702.979,123.0,5781.0
703.051,123.0,5780.0
703.114,123.0,5781.0
703.177,123.0,5779.0
703.241,123.0,5781.0
703.305,123.0,5784.0
703.369,123.0,5779.0
