Time,Speed,Magnitude
1293.779,61.0,35.0
1293.907,36.6,34.0
1294.046,24.4,26.0
1294.112,61.0,94.0
1294.177,48.8,161.0
1294.243,48.8,244.0
1294.308,36.6,319.0
1294.373,24.4,423.0
1294.439,-24.4,60.0
1294.503,-12.2,243.0
1294.567,-36.6,398.0
1294.631,-48.8,394.0
1294.695,-73.2,362.0
1294.76,-73.2,712.0
1294.825,-73.2,825.0
1294.89,-73.2,140.0
1294.956,-61.0,212.0
1295.031,-48.8,241.0
1295.097,-48.8,205.0
1295.162,-36.6,111.0
1295.227,-24.4,113.0
1295.293,-36.6,52.0
1295.359,-12.2,57.0
1295.425,-12.2,41.0
1351.817,12.2,22.0
1351.883,24.4,164.0
1351.949,36.6,149.0
1352.024,12.2,95.0
1352.089,24.4,194.0
1352.155,36.6,241.0
1352.221,48.8,397.0
1352.286,61.0,719.0
1352.351,48.8,485.0
1352.417,48.8,354.0
1352.482,48.8,436.0
1352.548,36.6,248.0
1352.614,12.2,118.0
1352.679,48.8,166.0
1352.744,36.6,605.0
1352.808,24.4,310.0
1352.872,24.4,101.0
1352.936,12.2,21.0
