Time,Speed,Magnitude
384.159,36.6,27.0
384.225,36.6,41.0
384.291,24.4,42.0
384.357,12.2,28.0
384.551,36.6,56.0
384.617,36.6,103.0
384.682,36.6,341.0
384.748,36.6,197.0
384.814,24.4,36.0
384.878,-24.4,127.0
384.942,-12.2,134.0
385.013,-12.2,258.0
385.077,-24.4,364.0
385.142,-24.4,523.0
385.208,-36.6,662.0
385.273,-48.8,181.0
385.338,-109.8,132.0
385.404,-61.0,264.0
385.47,-73.2,821.0
385.536,-97.6,499.0
385.602,-85.4,365.0
385.667,-48.8,396.0
385.732,-73.2,219.0
385.798,-48.8,108.0
385.863,-48.8,120.0
385.929,-36.6,129.0
386.004,-24.4,22.0
386.07,-12.2,45.0
386.135,-12.2,27.0
393.644,-12.2,24.0
393.836,12.2,47.0
393.902,12.2,43.0
393.967,12.2,75.0
394.043,12.2,59.0
394.108,12.2,24.0
394.172,12.2,81.0
394.236,24.4,54.0
394.301,12.2,95.0
394.365,12.2,50.0
394.43,12.2,26.0
394.496,12.2,63.0
394.562,12.2,67.0
395.02,-12.2,34.0
395.086,-12.2,43.0
395.151,-12.2,46.0
395.216,-12.2,43.0
395.532,-12.2,21.0
407.463,12.2,48.0
407.527,12.2,30.0
407.59,12.2,74.0
407.653,12.2,77.0
407.717,12.2,26.0
407.78,12.2,57.0
407.844,12.2,115.0
407.907,24.4,99.0
407.971,24.4,72.0
408.043,12.2,136.0
408.107,24.4,36.0
408.171,12.2,76.0
408.235,12.2,22.0
408.613,-12.2,77.0
408.676,-24.4,41.0
408.74,-36.6,44.0
408.804,-36.6,120.0
408.868,-24.4,172.0
408.931,-36.6,58.0
409.004,-12.2,48.0
409.067,-12.2,71.0
409.13,-12.2,89.0
409.194,-24.4,21.0
409.257,-12.2,34.0
418.616,12.2,40.0
418.743,12.2,47.0
418.806,12.2,26.0
418.871,12.2,25.0
418.936,12.2,33.0
419.139,12.2,101.0
419.204,12.2,108.0
419.27,12.2,22.0
419.848,-12.2,22.0
419.912,-12.2,29.0
428.017,-12.2,21.0
428.656,12.2,35.0
429.115,12.2,44.0
429.181,12.2,27.0
429.308,12.2,49.0
429.371,12.2,27.0
429.436,12.2,44.0
429.502,12.2,87.0
429.568,12.2,155.0
429.634,12.2,101.0
429.7,12.2,21.0
429.766,12.2,31.0
429.832,12.2,20.0
430.289,-12.2,21.0
430.355,-12.2,95.0
430.42,-12.2,79.0
430.485,-12.2,84.0
430.549,-12.2,76.0
430.613,-24.4,84.0
430.677,-24.4,35.0
430.742,-12.2,36.0
430.808,-12.2,45.0
430.873,-12.2,27.0
430.938,-12.2,41.0
431.077,-12.2,22.0
439.484,12.2,26.0
439.548,12.2,21.0
439.612,12.2,48.0
439.741,12.2,41.0
439.806,12.2,39.0
440.393,12.2,31.0
440.459,12.2,65.0
440.97,-12.2,55.0
441.044,-12.2,27.0
441.11,-12.2,21.0
441.176,-12.2,32.0
441.242,-12.2,35.0
441.308,-12.2,33.0
441.374,-12.2,31.0
451.153,12.2,68.0
451.217,24.4,90.0
451.281,12.2,65.0
451.345,48.8,224.0
451.409,73.2,139.0
451.475,48.8,303.0
451.541,61.0,237.0
451.606,61.0,159.0
451.672,36.6,487.0
451.738,24.4,313.0
451.804,12.2,114.0
451.87,12.2,369.0
451.935,12.2,167.0
452.01,24.4,35.0
452.331,12.2,20.0
