Time,Speed,Magnitude
712.867,36.6,25.0
713.005,24.4,22.0
713.069,61.0,28.0
713.132,12.2,36.0
713.261,36.6,95.0
713.327,48.8,246.0
713.393,48.8,304.0
713.459,36.6,438.0
713.525,24.4,419.0
713.591,-12.2,198.0
713.657,-36.6,99.0
713.722,-12.2,244.0
713.787,-24.4,537.0
713.853,-36.6,929.0
713.919,-48.8,702.0
713.985,-61.0,557.0
714.0,-73.2,1267.0
714.124,-73.2,861.0
714.188,-73.2,363.0
714.252,-85.4,301.0
714.316,-73.2,350.0
714.38,-61.0,177.0
714.445,-48.8,75.0
714.563,-36.6,67.0
714.576,-24.4,54.0
714.642,-24.4,36.0
720.432,-24.4,33.0
720.495,-85.4,198.0
720.559,-85.4,224.0
720.622,-61.0,220.0
720.686,-48.8,130.0
720.751,-36.6,141.0
720.817,-12.2,85.0
721.211,24.4,146.0
721.277,36.6,157.0
721.343,61.0,338.0
721.409,61.0,189.0
721.475,36.6,40.0
721.541,36.6,117.0
727.451,-48.8,69.0
727.517,-73.2,290.0
727.583,-61.0,218.0
727.649,-48.8,216.0
727.715,-36.6,53.0
727.78,-36.6,95.0
727.846,-24.4,72.0
727.912,-12.2,51.0
728.242,12.2,83.0
728.306,36.6,90.0
728.371,48.8,195.0
728.436,48.8,69.0
728.502,36.6,98.0
728.567,36.6,69.0
728.633,12.2,42.0
734.28,-24.4,51.0
734.345,-61.0,157.0
734.41,-61.0,242.0
734.476,-48.8,82.0
734.542,-48.8,176.0
734.607,-24.4,54.0
734.671,-24.4,71.0
734.734,-24.4,51.0
734.798,-12.2,43.0
735.061,12.2,56.0
735.125,24.4,119.0
735.189,36.6,42.0
735.254,48.8,238.0
735.319,61.0,73.0
735.384,61.0,88.0
735.45,36.6,58.0
740.513,-24.4,39.0
740.577,-73.2,73.0
740.641,-73.2,262.0
740.706,-48.8,183.0
740.772,-48.8,116.0
740.838,-36.6,115.0
740.902,-24.4,106.0
740.965,-12.2,65.0
741.039,-12.2,43.0
741.293,12.2,102.0
741.357,36.6,141.0
741.421,61.0,246.0
741.485,61.0,140.0
741.549,73.2,161.0
741.613,48.8,83.0
741.677,12.2,30.0
746.478,-48.8,77.0
746.544,-85.4,232.0
746.609,-61.0,159.0
746.673,-61.0,329.0
746.738,-48.8,72.0
746.804,-24.4,149.0
746.869,-24.4,65.0
746.934,-12.2,48.0
747.201,12.2,51.0
747.266,12.2,125.0
747.331,48.8,49.0
747.395,36.6,159.0
747.458,36.6,42.0
747.522,48.8,118.0
747.585,24.4,102.0
747.649,12.2,34.0
753.734,-48.8,62.0
753.798,-85.4,116.0
753.862,-73.2,256.0
753.926,-61.0,233.0
754.0,-48.8,85.0
754.064,-24.4,151.0
754.128,-24.4,54.0
754.193,-12.2,51.0
754.448,12.2,30.0
754.512,24.4,97.0
754.576,36.6,156.0
754.641,48.8,116.0
754.706,48.8,180.0
754.772,61.0,73.0
754.838,36.6,173.0
762.349,-61.0,123.0
762.415,-73.2,180.0
762.479,-61.0,295.0
762.545,-36.6,73.0
762.61,-24.4,118.0
762.675,-12.2,49.0
763.067,12.2,25.0
763.132,12.2,73.0
763.198,24.4,49.0
763.264,36.6,62.0
763.33,61.0,97.0
763.396,36.6,95.0
769.931,-36.6,78.0
770.006,-48.8,114.0
770.072,-48.8,325.0
770.137,-48.8,61.0
770.202,-36.6,93.0
770.267,-24.4,71.0
770.332,-12.2,38.0
770.589,12.2,47.0
770.653,12.2,93.0
770.718,36.6,63.0
770.782,48.8,265.0
770.846,48.8,118.0
770.911,48.8,78.0
770.976,36.6,44.0
775.099,12.2,91.0
775.165,24.4,67.0
775.231,36.6,57.0
775.297,12.2,96.0
775.363,48.8,100.0
775.429,73.2,219.0
775.494,48.8,215.0
775.56,61.0,242.0
775.626,36.6,213.0
775.692,24.4,255.0
775.757,12.2,208.0
775.822,12.2,253.0
775.886,12.2,87.0
775.95,12.2,107.0
776.024,24.4,121.0
776.088,24.4,40.0
