Time,Speed,Magnitude
20.619,36.6,24.0
20.684,24.4,30.0
20.75,24.4,29.0
20.815,12.2,24.0
20.88,12.2,22.0
21.017,36.6,39.0
21.081,36.6,118.0
21.197,48.8,390.0
21.208,36.6,287.0
21.271,36.6,359.0
21.336,12.2,119.0
21.401,-24.4,297.0
21.467,-12.2,271.0
21.531,-12.2,296.0
21.595,-24.4,333.0
21.659,-36.6,547.0
21.723,-36.6,949.0
21.788,-48.8,762.0
21.854,-61.0,833.0
21.92,-61.0,563.0
21.986,-61.0,980.0
22.06,-73.2,357.0
22.126,-48.8,258.0
22.192,-48.8,151.0
22.258,-36.6,124.0
22.324,-24.4,60.0
22.39,-12.2,55.0
22.455,-24.4,32.0
22.521,-12.2,52.0
22.586,-12.2,49.0
30.744,12.2,25.0
30.809,12.2,68.0
30.875,48.8,36.0
30.941,73.2,80.0
31.016,61.0,212.0
31.082,24.4,67.0
31.148,12.2,173.0
31.213,12.2,120.0
31.279,12.2,74.0
31.344,12.2,27.0
31.665,-12.2,39.0
31.729,-12.2,28.0
31.793,-24.4,40.0
31.857,-12.2,108.0
31.921,-24.4,78.0
31.986,-12.2,109.0
32.062,-12.2,40.0
32.191,-12.2,43.0
32.257,-12.2,51.0
40.036,12.2,31.0
40.166,12.2,46.0
40.232,36.6,63.0
40.298,48.8,79.0
40.363,24.4,141.0
40.427,12.2,35.0
40.873,-12.2,30.0
40.936,-12.2,22.0
41.011,-12.2,49.0
41.077,-12.2,27.0
41.207,-12.2,35.0
48.52,-12.2,22.0
48.838,-12.2,20.0
49.742,12.2,38.0
49.805,24.4,51.0
49.869,61.0,76.0
49.933,36.6,179.0
50.008,12.2,133.0
50.073,12.2,64.0
50.138,12.2,45.0
50.204,12.2,37.0
50.522,-12.2,44.0
50.587,-12.2,46.0
50.653,-12.2,93.0
50.719,-12.2,71.0
50.784,-12.2,66.0
50.85,-12.2,39.0
50.979,-12.2,47.0
51.052,-12.2,31.0
51.178,-12.2,21.0
62.361,12.2,62.0
62.427,12.2,59.0
62.492,61.0,69.0
62.556,48.8,135.0
62.62,24.4,118.0
62.684,12.2,37.0
63.078,-12.2,60.0
63.144,-12.2,53.0
63.21,-12.2,58.0
63.276,-12.2,60.0
63.341,-12.2,27.0
63.407,-24.4,69.0
63.473,-12.2,50.0
63.537,-12.2,54.0
63.602,-12.2,38.0
72.387,-12.2,21.0
73.03,24.4,28.0
73.096,-12.2,61.0
73.162,12.2,45.0
73.227,61.0,88.0
73.293,36.6,146.0
73.358,12.2,154.0
73.424,12.2,73.0
73.489,12.2,51.0
73.747,-12.2,27.0
73.813,-12.2,53.0
73.878,-12.2,72.0
73.942,-24.4,45.0
74.016,-24.4,23.0
74.08,-12.2,64.0
74.144,-12.2,51.0
74.209,-12.2,22.0
79.669,24.4,32.0
79.733,36.6,80.0
79.798,48.8,113.0
79.863,61.0,90.0
79.928,48.8,261.0
80.003,61.0,300.0
80.069,61.0,424.0
80.135,48.8,395.0
80.201,36.6,128.0
80.266,24.4,81.0
80.33,36.6,91.0
80.394,12.2,149.0
80.458,12.2,30.0
