Time,Speed0,Speed1,Speed2,Speed3,Speed4,Speed5,Magnitude0,Magnitude1,Magnitude2,Magnitude3,Magnitude4,Magnitude5
93.691,12.2,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0
97.265,3110.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0
98.387,-61.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0
104.127,85.4,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0
104.198,85.4,73.2,97.6,0.0,0.0,0.0,10.3,8.8,5.9,0.0,0.0,0.0
104.270,73.2,61.0,85.4,0.0,0.0,0.0,12.8,12.2,6.8,0.0,0.0,0.0
104.552,-24.4,-36.6,-12.2,0.0,0.0,0.0,7.9,7.0,6.8,0.0,0.0,0.0
104.625,-24.4,-12.2,-36.6,0.0,0.0,0.0,25.8,25.2,12.7,0.0,0.0,0.0
104.698,-12.2,-24.4,0.0,0.0,0.0,0.0,11.1,7.5,0.0,0.0,0.0,0.0
104.771,12.2,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
105.053,12.2,24.4,36.6,0.0,0.0,0.0,19.7,15.7,7.6,0.0,0.0,0.0
105.126,12.2,36.6,0.0,0.0,0.0,0.0,18.3,5.3,0.0,0.0,0.0,0.0
105.198,12.2,24.4,36.6,48.8,0.0,0.0,53.4,28.0,13.6,9.4,0.0,0.0
105.271,12.2,24.4,36.6,0.0,0.0,0.0,45.8,44.3,16.9,0.0,0.0,0.0
105.344,12.2,24.4,36.6,0.0,0.0,0.0,26.5,16.2,5.2,0.0,0.0,0.0
105.416,12.2,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,0.0,0.0,0.0
105.558,-36.6,-24.4,-48.8,-12.2,-61.0,0.0,51.6,48.9,32.4,29.6,12.5,0.0
105.633,-24.4,-12.2,-36.6,-48.8,0.0,0.0,64.1,60.6,40.5,14.7,0.0,0.0
105.706,12.2,24.4,36.6,48.8,0.0,0.0,34.8,28.1,16.1,8.5,0.0,0.0
105.779,-12.2,-24.4,0.0,0.0,0.0,0.0,13.9,5.9,0.0,0.0,0.0,0.0
105.851,-24.4,-12.2,-36.6,-48.8,-61.0,0.0,35.7,29.6,27.7,15.2,6.7,0.0
105.925,12.2,24.4,36.6,48.8,0.0,0.0,74.3,73.7,40.3,12.3,0.0,0.0
105.998,-12.2,-24.4,-36.6,0.0,0.0,0.0,22.5,16.2,7.2,0.0,0.0,0.0
106.072,-24.4,-36.6,-12.2,-48.8,-61.0,0.0,51.7,41.5,37.5,19.0,5.6,0.0
106.146,12.2,24.4,36.6,0.0,0.0,0.0,20.5,17.3,8.2,0.0,0.0,0.0
106.219,12.2,24.4,36.6,48.8,0.0,0.0,63.5,59.2,34.0,13.5,0.0,0.0
106.292,-24.4,-36.6,-12.2,-48.8,0.0,0.0,61.3,51.8,42.4,23.6,0.0,0.0
106.366,-24.4,-36.6,-48.8,-12.2,-61.0,0.0,18.1,16.5,10.0,9.8,6.0,0.0
106.440,24.4,36.6,12.2,48.8,0.0,0.0,22.5,21.2,17.8,7.2,0.0,0.0
106.514,-24.4,-12.2,-36.6,0.0,0.0,0.0,21.7,19.3,13.5,0.0,0.0,0.0
106.587,-36.6,-24.4,-48.8,-12.2,0.0,0.0,15.6,13.8,9.4,6.0,0.0,0.0
106.660,12.2,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
106.732,-12.2,-24.4,0.0,0.0,0.0,0.0,8.1,5.2,0.0,0.0,0.0,0.0
106.805,-12.2,-24.4,0.0,0.0,0.0,0.0,8.1,5.6,0.0,0.0,0.0,0.0
106.877,-12.2,-24.4,0.0,0.0,0.0,0.0,11.9,8.0,0.0,0.0,0.0,0.0
106.949,-12.2,-24.4,0.0,0.0,0.0,0.0,14.9,7.7,0.0,0.0,0.0,0.0
107.021,-12.2,-24.4,0.0,0.0,0.0,0.0,15.1,10.1,0.0,0.0,0.0,0.0
107.093,-24.4,-12.2,-36.6,0.0,0.0,0.0,11.0,8.2,7.2,0.0,0.0,0.0
107.165,-48.8,-36.6,-61.0,-24.4,-12.2,0.0,24.8,21.9,14.4,10.5,5.3,0.0
107.519,-12.2,-24.4,0.0,0.0,0.0,0.0,11.6,7.6,0.0,0.0,0.0,0.0
