Time,Range0,Range1,Range2,Range3,Range4,Range5,Magnitude0,Magnitude1,Magnitude2,Magnitude3,Magnitude4,Magnitude5
615.317,63.0,374.0,846.0,593.0,720.0,1250.0,4469.6,25.4,9.6,9.3,8.5,3.2
615.387,63.0,376.0,845.0,595.0,719.0,5939.0,4413.2,19.6,11.5,9.9,9.5,3.0
615.457,63.0,359.0,874.0,593.0,720.0,1500.0,4437.9,20.8,12.7,10.1,8.1,3.1
615.527,63.0,378.0,594.0,873.0,1468.0,12812.0,4485.1,21.4,11.3,10.5,3.5,2.5
615.597,63.0,371.0,873.0,593.0,720.0,1499.0,4400.2,25.7,12.3,12.2,7.1,3.3
615.667,63.0,375.0,874.0,595.0,719.0,15625.0,4435.0,18.9,11.4,9.6,7.4,3.2
615.737,63.0,375.0,873.0,594.0,720.0,1063.0,4497.8,22.2,11.7,10.0,5.8,3.1
615.807,63.0,370.0,873.0,594.0,8438.0,1499.0,4436.2,19.6,12.3,10.4,3.2,3.1
615.877,63.0,371.0,593.0,846.0,1531.0,8125.0,4449.5,21.7,12.6,10.5,3.1,2.9
615.947,63.0,371.0,593.0,845.0,721.0,3656.0,4452.1,20.7,11.2,10.4,7.0,2.9
616.017,63.0,372.0,874.0,595.0,721.0,1249.0,4434.2,24.0,11.5,11.3,7.5,3.5
616.087,63.0,371.0,594.0,873.0,9937.0,7189.0,4478.9,20.3,12.8,11.3,2.7,2.7
616.157,63.0,373.0,594.0,874.0,12499.0,8875.0,4439.4,26.5,12.5,10.2,2.5,2.4
616.227,63.0,375.0,593.0,873.0,719.0,5094.0,4444.1,22.2,10.7,8.8,6.8,2.5
616.297,63.0,373.0,595.0,846.0,720.0,8531.0,4411.9,25.2,11.4,10.4,7.8,3.5
616.367,63.0,374.0,594.0,845.0,719.0,1502.0,4427.5,20.2,12.9,10.3,9.0,2.8
616.437,63.0,376.0,594.0,873.0,719.0,11908.0,4444.7,21.5,12.3,10.0,5.6,3.4
616.507,63.0,374.0,846.0,593.0,8843.0,9125.0,4441.6,21.3,12.1,11.1,2.8,2.7
616.577,63.0,375.0,845.0,594.0,1529.0,12874.0,4495.1,24.1,10.8,9.6,3.5,3.3
