Time,Speed0,Speed1,Speed2,Speed3,Speed4,Speed5,Magnitude0,Magnitude1,Magnitude2,Magnitude3,Magnitude4,Magnitude5
621.357,12.2,24.4,0.0,0.0,0.0,0.0,13.4,5.1,0.0,0.0,0.0,0.0
621.429,24.4,12.2,0.0,0.0,0.0,0.0,10.1,9.7,0.0,0.0,0.0,0.0
621.502,24.4,12.2,36.6,0.0,0.0,0.0,8.7,6.0,5.1,0.0,0.0,0.0
621.574,24.4,12.2,36.6,0.0,0.0,0.0,10.7,8.9,6.1,0.0,0.0,0.0
621.716,24.4,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0
621.787,12.2,24.4,36.6,0.0,0.0,0.0,16.3,14.9,9.6,0.0,0.0,0.0
621.860,-12.2,-24.4,-36.6,0.0,0.0,0.0,20.9,17.6,7.7,0.0,0.0,0.0
621.933,-12.2,-24.4,-36.6,0.0,0.0,0.0,27.3,19.2,6.5,0.0,0.0,0.0
622.005,-12.2,-24.4,-36.6,0.0,0.0,0.0,40.0,34.8,14.2,0.0,0.0,0.0
622.078,12.2,0.0,0.0,0.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0
622.149,-12.2,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0
622.290,12.2,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0
622.711,12.2,24.4,0.0,0.0,0.0,0.0,30.1,12.3,0.0,0.0,0.0,0.0
622.783,12.2,24.4,-36.6,0.0,0.0,0.0,57.9,28.2,11.9,0.0,0.0,0.0
623.065,12.2,-24.4,0.0,0.0,0.0,0.0,10.0,8.9,0.0,0.0,0.0,0.0
623.137,12.2,0.0,0.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0
623.418,-24.4,-12.2,-36.6,-48.8,0.0,0.0,19.4,16.2,15.8,7.9,0.0,0.0
623.491,-36.6,-48.8,-61.0,-24.4,-12.2,0.0,21.5,19.6,10.2,9.8,5.3,0.0
623.565,-12.2,-36.6,-24.4,-48.8,0.0,0.0,20.2,12.6,11.2,10.2,0.0,0.0
