Time,Range0,Range1,Range2,Range3,Range4,Range5,Magnitude0,Magnitude1,Magnitude2,Magnitude3,Magnitude4,Magnitude5
2997.346,62.0,248.0,471.0,749.0,1000.0,1249.0,6135.8,707.1,190.7,87.0,50.2,32.8
2997.416,62.0,221.0,467.0,688.0,936.0,1156.0,6285.9,771.7,227.9,110.5,61.5,41.8
2997.487,62.0,219.0,408.0,627.0,845.0,1064.0,6441.4,853.3,270.5,131.1,75.3,48.3
2997.558,62.0,217.0,377.0,594.0,783.0,999.0,6552.7,867.1,332.1,155.5,87.3,56.2
2997.629,62.0,217.0,375.0,565.0,780.0,968.0,6510.0,867.5,354.4,161.0,95.7,62.0
2997.700,62.0,218.0,376.0,593.0,782.0,971.0,6502.5,863.5,337.8,157.8,91.6,59.7
2997.771,62.0,218.0,405.0,596.0,812.0,1029.0,6512.0,871.6,311.3,145.6,84.2,49.3
2997.841,62.0,218.0,405.0,595.0,811.0,1002.0,6510.5,888.8,312.9,147.1,83.1,52.0
2997.912,62.0,217.0,376.0,593.0,782.0,971.0,6520.6,888.3,339.9,157.0,91.9,58.4
2997.983,62.0,218.0,376.0,565.0,780.0,969.0,6454.2,861.2,344.0,156.5,91.8,58.9
2998.055,61.0,217.0,376.0,565.0,780.0,969.0,6519.4,897.0,344.7,158.0,90.5,58.9
2998.126,61.0,218.0,376.0,565.0,780.0,969.0,6452.4,872.0,338.6,158.1,92.5,60.4
2998.197,61.0,219.0,378.0,593.0,783.0,999.0,6473.7,872.5,318.6,154.4,84.1,55.6
2998.268,61.0,221.0,407.0,625.0,843.0,1034.0,6270.9,830.3,283.7,136.7,79.2,49.8
2998.339,61.0,221.0,407.0,626.0,843.0,1061.0,6379.0,844.6,282.8,133.4,77.8,50.2
2998.410,61.0,218.0,375.0,564.0,779.0,968.0,6358.8,870.0,345.4,159.6,89.7,60.4
2998.481,61.0,215.0,349.0,532.0,719.0,905.0,6208.9,817.0,382.2,182.9,99.2,63.2
2998.552,61.0,214.0,348.0,531.0,717.0,878.0,6187.1,818.5,395.6,184.4,101.5,61.5
2998.623,61.0,214.0,349.0,533.0,720.0,906.0,6228.8,840.3,383.2,178.7,100.0,62.6
2998.694,61.0,214.0,348.0,533.0,719.0,905.0,6244.3,825.1,387.0,180.2,101.9,63.5
2998.765,61.0,214.0,348.0,531.0,717.0,878.0,6252.9,794.5,398.5,185.0,103.6,63.2
2998.836,61.0,214.0,347.0,530.0,716.0,876.0,6286.1,779.8,407.0,188.3,102.5,64.7
2998.907,61.0,214.0,347.0,530.0,691.0,875.0,6398.5,775.3,414.7,193.5,105.6,68.5
2998.978,61.0,214.0,348.0,531.0,717.0,878.0,6487.0,809.9,407.7,192.9,108.8,66.9
2999.049,62.0,215.0,373.0,560.0,748.0,935.0,6483.3,857.6,373.5,171.7,100.9,62.3
2999.120,62.0,216.0,376.0,593.0,782.0,971.0,6455.7,894.7,332.8,151.2,92.4,55.6
2999.191,62.0,218.0,407.0,625.0,843.0,1061.0,6437.8,892.3,287.6,130.5,79.3,47.1
2999.262,62.0,219.0,439.0,687.0,908.0,1156.0,6362.4,828.8,241.8,109.6,61.7,41.1
2999.332,62.0,248.0,499.0,751.0,1031.0,1281.0,6266.5,727.1,190.4,82.3,47.4,29.7
2999.402,62.0,250.0,532.0,843.0,1124.0,1406.0,6211.1,657.1,149.7,66.4,39.0,24.8
2999.472,62.0,251.0,593.0,876.0,1188.0,1499.0,6171.6,579.5,129.7,53.2,31.7,20.3
2999.542,62.0,252.0,594.0,937.0,1250.0,1533.0,6165.7,541.8,121.3,50.7,28.8,20.0
2999.612,62.0,252.0,593.0,906.0,1219.0,1531.0,6180.3,549.9,126.1,51.9,31.8,22.1
2999.683,62.0,251.0,562.0,845.0,1156.0,1438.0,6210.2,590.9,139.8,61.3,35.7,24.0
2999.754,62.0,250.0,561.0,843.0,1125.0,1406.0,6204.2,613.4,144.6,65.8,37.9,23.8
2999.824,62.0,251.0,563.0,874.0,1156.0,1468.0,6188.4,591.2,140.5,60.8,35.9,21.7
2999.894,62.0,250.0,532.0,814.0,1125.0,1407.0,6225.9,615.3,146.2,66.5,38.5,23.7
2999.964,62.0,249.0,500.0,752.0,1031.0,1282.0,6297.0,679.1,180.4,85.1,46.0,31.9
3000.035,62.0,225.0,439.0,688.0,908.0,1156.0,6374.5,765.9,230.3,110.1,59.2,39.8
3000.105,61.0,222.0,407.0,626.0,844.0,1062.0,6454.4,849.2,283.1,134.5,76.5,50.5
3000.176,61.0,218.0,375.0,564.0,779.0,967.0,6502.0,870.4,350.1,159.8,88.9,59.5
3000.247,61.0,218.0,374.0,562.0,750.0,939.0,6485.0,856.2,363.6,171.1,94.6,61.9
3000.318,61.0,218.0,374.0,562.0,751.0,939.0,6492.6,855.3,362.4,169.7,94.4,61.6
3000.389,61.0,218.0,374.0,562.0,750.0,939.0,6507.7,854.1,365.2,169.1,95.0,62.8
3000.460,61.0,217.0,373.0,561.0,749.0,937.0,6533.7,852.3,370.2,174.0,97.8,64.4
3000.531,61.0,216.0,350.0,535.0,722.0,909.0,6609.6,859.7,384.0,179.7,100.5,64.7
3000.602,61.0,216.0,349.0,533.0,720.0,906.0,6645.2,860.0,403.7,185.1,106.0,67.9
3000.673,61.0,216.0,349.0,533.0,720.0,906.0,6668.4,859.0,404.5,189.8,105.0,68.5
3000.744,61.0,215.0,348.0,532.0,718.0,904.0,6732.8,858.0,426.7,194.8,110.4,68.8
3000.815,61.0,215.0,347.0,531.0,717.0,877.0,6765.8,853.0,440.6,200.5,110.7,71.2
3000.886,61.0,214.0,347.0,530.0,691.0,875.0,6781.8,843.3,450.1,200.3,107.8,72.6
3000.957,61.0,214.0,346.0,529.0,689.0,873.0,6777.6,820.2,459.0,202.1,117.2,74.2
3001.029,61.0,213.0,345.0,504.0,688.0,847.0,6760.5,793.1,461.2,200.9,117.7,71.6
3001.100,61.0,213.0,345.0,503.0,686.0,845.0,6755.5,770.0,462.6,209.0,118.3,74.0
3001.171,61.0,344.0,501.0,685.0,843.0,1003.0,6705.2,463.4,212.9,117.6,75.7,53.0
3001.242,61.0,343.0,500.0,659.0,841.0,1000.0,6630.4,455.8,214.0,119.4,73.4,54.5
3001.313,61.0,344.0,501.0,660.0,842.0,1001.0,6593.1,456.3,212.5,113.1,75.0,53.5
3001.384,61.0,344.0,501.0,685.0,843.0,1003.0,6510.5,448.4,206.2,114.7,74.9,52.0
3001.455,61.0,343.0,500.0,659.0,841.0,1000.0,6408.1,441.2,206.5,115.5,73.8,54.0
3001.526,61.0,342.0,499.0,657.0,815.0,996.0,6258.0,427.3,205.1,119.0,73.1,52.1
3001.597,61.0,342.0,499.0,656.0,814.0,996.0,6130.3,419.3,202.1,115.5,74.6,50.2
3001.669,61.0,343.0,501.0,660.0,842.0,1001.0,6031.5,413.7,193.8,106.2,72.0,49.2
3001.740,61.0,345.0,503.0,687.0,847.0,1030.0,5996.0,410.4,187.1,105.8,69.4,49.7
3001.811,61.0,213.0,346.0,528.0,689.0,873.0,5979.6,730.1,402.0,180.9,101.6,68.6
3001.882,61.0,214.0,347.0,530.0,691.0,875.0,5979.4,746.9,396.4,181.9,97.4,70.1
3001.953,61.0,214.0,347.0,530.0,716.0,876.0,5994.9,759.0,395.0,180.6,97.7,69.8
3002.023,61.0,215.0,348.0,531.0,717.0,878.0,6023.2,768.2,390.1,182.9,99.0,70.2
3002.093,61.0,214.0,347.0,531.0,716.0,877.0,6016.3,758.5,393.4,181.8,96.9,71.3
3002.164,61.0,214.0,346.0,529.0,689.0,873.0,5987.0,722.2,400.5,183.0,100.0,68.9
3002.235,61.0,212.0,344.0,502.0,685.0,844.0,5941.1,667.7,405.5,189.8,103.7,67.8
3002.306,61.0,343.0,500.0,659.0,817.0,999.0,5915.2,400.4,194.4,107.9,65.1,48.8
3002.377,60.0,342.0,499.0,657.0,815.0,997.0,5905.1,396.0,197.3,110.0,69.5,48.7
3002.448,60.0,211.0,344.0,501.0,660.0,841.0,5923.2,620.4,389.8,191.9,106.9,67.9
3002.519,60.0,213.0,346.0,504.0,687.0,847.0,6034.8,666.6,385.9,181.9,105.3,64.2
3002.590,61.0,214.0,347.0,530.0,691.0,875.0,6135.5,705.6,379.8,184.9,101.1,61.7
3002.661,61.0,216.0,350.0,533.0,719.0,905.0,6199.2,743.3,362.3,179.1,97.9,58.5
3002.732,61.0,217.0,373.0,560.0,748.0,935.0,6182.6,767.2,350.1,166.3,90.0,55.3
3002.803,61.0,216.0,350.0,533.0,719.0,906.0,6216.7,746.3,359.9,177.0,99.3,60.8
3002.874,61.0,211.0,342.0,499.0,657.0,815.0,6513.9,673.9,433.7,216.0,117.5,75.1
3002.944,61.0,343.0,501.0,660.0,842.0,1002.0,6627.5,453.8,212.2,112.8,75.4,54.6
3003.016,61.0,344.0,501.0,684.0,843.0,1003.0,6465.2,447.0,203.7,111.6,76.6,52.0
3003.088,62.0,216.0,375.0,592.0,781.0,969.0,6164.3,866.7,334.8,144.7,86.7,56.7
3003.162,62.0,252.0,562.0,844.0,1155.0,1437.0,6299.7,627.7,148.5,64.4,36.8,27.0
3003.236,61.0,223.0,408.0,627.0,845.0,1063.0,6422.3,811.0,276.1,130.9,74.0,47.3
3003.309,61.0,219.0,374.0,563.0,752.0,939.0,6216.0,796.3,351.0,163.2,91.8,62.2
3003.379,61.0,222.0,404.0,594.0,810.0,999.0,5868.5,747.2,289.3,135.6,77.5,50.9
3003.449,61.0,219.0,405.0,596.0,811.0,1002.0,5430.2,682.8,245.9,117.3,67.7,41.3
3003.523,62.0,219.0,468.0,689.0,939.0,1187.0,5667.7,605.7,196.9,84.4,50.9,30.7
3003.594,62.0,250.0,533.0,844.0,1156.0,1437.0,5254.9,485.8,118.9,48.8,28.9,16.5
3003.665,62.0,354.0,459.0,540.0,12063.0,9282.0,4674.4,15.5,5.3,3.4,3.3,3.0
3003.736,62.0,352.0,409.0,535.0,10375.0,3906.0,4854.5,9.6,8.9,6.0,2.9,2.8
3003.807,62.0,406.0,625.0,842.0,1032.0,1250.0,5610.3,265.1,114.0,64.1,40.4,29.5
3003.878,63.0,501.0,812.0,1063.0,1344.0,1625.0,4953.0,129.2,56.5,32.3,19.9,13.5
3003.948,62.0,250.0,499.0,750.0,1001.0,1252.0,5588.0,629.0,184.3,78.1,42.6,25.8
3004.019,61.0,349.0,534.0,720.0,907.0,1094.0,5768.4,332.1,150.9,90.8,55.5,40.8
3004.090,61.0,346.0,529.0,689.0,874.0,1033.0,5173.1,331.4,150.9,87.5,54.7,39.4
3004.164,61.0,220.0,375.0,564.0,752.0,940.0,5002.9,538.0,294.7,135.4,78.4,48.0
3004.237,61.0,221.0,377.0,592.0,781.0,971.0,5401.4,631.2,288.6,129.4,76.6,49.0
