Time,Range0,Range1,Range2,Range3,Range4,Range5,Magnitude0,Magnitude1,Magnitude2,Magnitude3,Magnitude4,Magnitude5
2518.057,62.0,220.0,439.0,687.0,908.0,1155.0,6882.5,927.7,262.9,122.3,65.8,45.2
2518.127,62.0,220.0,439.0,686.0,907.0,1127.0,6898.7,937.3,268.6,123.2,69.5,45.6
2518.197,62.0,220.0,436.0,655.0,874.0,1093.0,6890.7,953.6,285.3,133.6,74.8,50.3
2518.268,62.0,218.0,406.0,623.0,814.0,1031.0,6941.4,969.8,325.0,149.6,85.5,56.5
2518.339,62.0,218.0,405.0,623.0,813.0,1030.0,6926.6,954.9,326.5,148.6,86.6,56.5
2518.409,62.0,219.0,407.0,626.0,844.0,1062.0,6920.9,927.5,305.5,141.7,83.3,53.7
2518.479,62.0,220.0,438.0,658.0,904.0,1124.0,6909.7,907.8,280.3,126.2,72.5,47.7
2518.550,62.0,220.0,467.0,688.0,936.0,1158.0,6905.0,890.8,259.1,119.3,65.9,43.2
2518.621,62.0,219.0,468.0,718.0,968.0,1189.0,6865.4,875.3,247.7,108.0,59.5,38.7
2518.692,62.0,219.0,468.0,718.0,967.0,1188.0,6870.1,880.5,250.6,107.0,61.3,39.1
2518.763,62.0,219.0,468.0,718.0,939.0,1188.0,6865.5,883.3,250.5,110.6,62.1,40.9
2518.835,62.0,219.0,468.0,718.0,967.0,1189.0,6866.9,871.7,252.4,110.3,61.3,41.3
2518.905,62.0,220.0,468.0,690.0,938.0,1187.0,6887.7,878.3,252.2,109.7,63.4,42.4
2518.976,62.0,220.0,467.0,688.0,937.0,1157.0,6912.0,892.2,259.8,113.9,64.3,42.2
2519.047,62.0,220.0,440.0,688.0,936.0,1156.0,6931.0,906.0,261.4,121.3,68.0,43.3
2519.118,62.0,220.0,439.0,688.0,908.0,1156.0,6924.8,908.6,262.0,120.6,66.3,47.0
2519.189,62.0,219.0,467.0,688.0,936.0,1157.0,6912.3,910.5,258.9,118.0,64.8,43.4
2519.260,62.0,219.0,467.0,688.0,937.0,1157.0,6909.4,911.0,259.3,116.6,66.2,43.1
2519.331,62.0,218.0,438.0,657.0,905.0,1125.0,6943.5,952.6,282.9,127.6,71.9,45.9
2519.401,62.0,217.0,407.0,625.0,843.0,1061.0,6975.0,982.8,317.8,143.1,81.4,52.6
2519.472,62.0,217.0,378.0,595.0,811.0,1002.0,6998.1,990.8,341.4,159.0,88.9,59.1
2519.543,62.0,216.0,377.0,594.0,783.0,999.0,6978.4,985.1,357.0,163.1,93.7,58.2
2519.614,62.0,216.0,377.0,594.0,784.0,1000.0,6951.3,985.1,351.8,162.3,91.6,59.6
2519.685,62.0,216.0,376.0,591.0,781.0,969.0,6974.5,979.4,376.8,169.3,100.1,63.8
2519.756,62.0,216.0,375.0,565.0,779.0,968.0,6957.5,973.9,383.3,172.2,97.8,62.0
2519.827,62.0,216.0,376.0,565.0,780.0,969.0,6959.4,974.7,379.1,168.7,98.0,62.0
2519.898,62.0,216.0,377.0,593.0,783.0,999.0,6926.2,982.0,356.2,163.6,93.1,60.3
2519.969,62.0,217.0,405.0,595.0,812.0,1003.0,6922.3,980.5,334.8,155.0,88.9,55.4
2520.040,62.0,217.0,406.0,624.0,815.0,1033.0,6899.1,975.1,321.9,147.1,81.5,50.9
2520.111,62.0,217.0,407.0,626.0,844.0,1063.0,6903.3,971.2,311.2,142.2,76.5,50.3
2520.182,62.0,217.0,407.0,626.0,844.0,1063.0,6935.9,973.2,308.0,140.8,79.4,51.3
2520.253,62.0,218.0,436.0,654.0,874.0,1092.0,6943.4,969.0,298.8,134.7,77.4,49.4
2520.324,62.0,218.0,436.0,655.0,875.0,1094.0,6955.1,963.8,297.0,136.6,75.0,51.8
2520.395,62.0,218.0,436.0,655.0,875.0,1094.0,6956.8,955.3,296.9,133.8,75.6,47.8
2520.466,62.0,218.0,436.0,627.0,874.0,1065.0,6934.1,946.3,300.0,137.0,77.0,49.1
2520.536,62.0,218.0,408.0,626.0,845.0,1064.0,6842.5,932.1,299.9,136.9,76.5,48.6
2520.607,62.0,219.0,436.0,655.0,875.0,1094.0,6695.9,904.1,284.6,127.8,70.3,46.1
2520.678,62.0,219.0,437.0,657.0,877.0,1124.0,6581.2,882.0,270.6,123.6,66.5,45.0
2520.748,62.0,219.0,437.0,656.0,876.0,1095.0,6460.1,877.4,268.6,122.7,66.9,44.0
