Time,Speed0,Speed1,Speed2,Speed3,Speed4,Speed5,Magnitude0,Magnitude1,Magnitude2,Magnitude3,Magnitude4,Magnitude5
3002.962,24.4,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0
3003.032,36.6,24.4,48.8,0.0,0.0,0.0,8.7,6.0,5.6,0.0,0.0,0.0
3003.105,48.8,61.0,36.6,73.2,0.0,0.0,29.2,23.4,16.2,9.1,0.0,0.0
3003.179,48.8,61.0,36.6,73.2,0.0,0.0,26.0,20.7,16.0,8.2,0.0,0.0
3003.253,36.6,24.4,0.0,0.0,0.0,0.0,6.0,5.7,0.0,0.0,0.0,0.0
3003.467,12.2,24.4,0.0,0.0,0.0,0.0,6.1,5.1,0.0,0.0,0.0,0.0
3004.108,12.2,-24.4,0.0,0.0,0.0,0.0,9.5,5.0,0.0,0.0,0.0,0.0
3004.182,-61.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0
3004.325,-48.8,-61.0,-36.6,-73.2,0.0,0.0,23.5,22.3,12.4,9.7,0.0,0.0
3004.400,-73.2,-85.4,-61.0,0.0,0.0,0.0,19.0,13.3,11.7,0.0,0.0,0.0
3004.474,-73.2,-85.4,-61.0,0.0,0.0,0.0,18.7,13.9,10.9,0.0,0.0,0.0
3004.548,-61.0,-48.8,-73.2,0.0,0.0,0.0,14.8,10.4,9.4,0.0,0.0,0.0
3004.622,-36.6,-24.4,-48.8,0.0,0.0,0.0,10.6,7.4,6.4,0.0,0.0,0.0
3004.695,-24.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0
3009.973,12.2,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0
3010.043,48.8,61.0,36.6,73.2,0.0,0.0,15.0,14.5,8.0,6.8,0.0,0.0
3010.117,85.4,97.6,73.2,0.0,0.0,0.0,13.8,11.2,8.9,0.0,0.0,0.0
3010.190,85.4,73.2,97.6,0.0,0.0,0.0,11.0,8.2,7.6,0.0,0.0,0.0
3010.264,36.6,48.8,24.4,0.0,0.0,0.0,8.1,7.5,5.7,0.0,0.0,0.0
3010.338,48.8,36.6,61.0,24.4,12.2,0.0,12.7,10.6,8.9,6.1,5.5,0.0
3010.413,-12.2,-24.4,36.6,48.8,0.0,0.0,17.7,11.8,10.7,5.5,0.0,0.0
3010.487,-12.2,-24.4,-36.6,0.0,0.0,0.0,23.1,19.4,7.1,0.0,0.0,0.0
3010.703,-12.2,-24.4,-36.6,0.0,0.0,0.0,9.7,8.6,5.8,0.0,0.0,0.0
3010.777,12.2,24.4,0.0,0.0,0.0,0.0,13.3,5.2,0.0,0.0,0.0,0.0
