Time,Speed0,Speed1,Speed2,Speed3,Speed4,Speed5,Magnitude0,Magnitude1,Magnitude2,Magnitude3,Magnitude4,Magnitude5
2525.792,36.6,24.4,0.0,0.0,0.0,0.0,7.4,5.8,0.0,0.0,0.0,0.0
2525.866,73.2,61.0,85.4,0.0,0.0,0.0,13.2,11.2,7.0,0.0,0.0,0.0
2525.940,85.4,73.2,97.6,61.0,109.8,0.0,51.3,39.5,30.9,12.8,8.5,0.0
2526.016,61.0,73.2,48.8,0.0,0.0,0.0,15.1,9.4,9.1,0.0,0.0,0.0
2526.161,12.2,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0
2526.233,-12.2,-24.4,0.0,0.0,0.0,0.0,7.4,6.1,0.0,0.0,0.0,0.0
2526.306,12.2,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
2526.876,-36.6,-24.4,0.0,0.0,0.0,0.0,5.6,5.5,0.0,0.0,0.0,0.0
2526.949,-61.0,-48.8,-12.2,0.0,0.0,0.0,6.0,5.8,5.8,0.0,0.0,0.0
2527.023,-36.6,-24.4,-48.8,0.0,0.0,0.0,17.5,13.3,10.4,0.0,0.0,0.0
2527.097,-61.0,-48.8,-73.2,0.0,0.0,0.0,11.2,7.9,7.8,0.0,0.0,0.0
2527.170,-73.2,-85.4,-61.0,-97.6,-48.8,0.0,35.2,26.8,21.3,8.7,5.5,0.0
2527.244,-73.2,-61.0,0.0,0.0,0.0,0.0,7.1,6.4,0.0,0.0,0.0,0.0
2527.387,-48.8,-61.0,-36.6,0.0,0.0,0.0,16.9,12.1,10.6,0.0,0.0,0.0
2527.461,-24.4,-36.6,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0
2531.416,12.2,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0
2531.487,24.4,36.6,0.0,0.0,0.0,0.0,8.1,7.0,0.0,0.0,0.0,0.0
2531.559,48.8,61.0,36.6,73.2,0.0,0.0,12.2,11.6,6.4,5.5,0.0,0.0
2531.633,61.0,73.2,48.8,0.0,0.0,0.0,9.2,6.7,5.5,0.0,0.0,0.0
2531.706,73.2,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0
2531.848,12.2,24.4,0.0,0.0,0.0,0.0,6.7,6.6,0.0,0.0,0.0,0.0
2531.921,36.6,12.2,48.8,0.0,0.0,0.0,7.0,6.8,5.3,0.0,0.0,0.0
2531.995,12.2,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0
2532.627,12.2,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0
2532.698,-12.2,-24.4,0.0,0.0,0.0,0.0,7.3,6.5,0.0,0.0,0.0,0.0
2532.771,-24.4,-12.2,-36.6,0.0,0.0,0.0,9.3,9.0,5.3,0.0,0.0,0.0
2532.845,-24.4,-12.2,-36.6,0.0,0.0,0.0,16.8,14.1,11.0,0.0,0.0,0.0
2532.918,-48.8,-36.6,0.0,0.0,0.0,0.0,7.7,6.5,0.0,0.0,0.0,0.0
2532.990,-61.0,-48.8,-73.2,-36.6,0.0,0.0,11.8,10.4,6.7,5.0,0.0,0.0
2533.064,-61.0,-73.2,-48.8,0.0,0.0,0.0,13.1,9.0,8.7,0.0,0.0,0.0
2533.137,-61.0,-48.8,-73.2,-36.6,0.0,0.0,19.7,17.7,9.8,6.0,0.0,0.0
2533.211,-48.8,-61.0,-36.6,0.0,0.0,0.0,10.1,9.0,5.3,0.0,0.0,0.0
2533.284,-36.6,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0
2533.425,-12.2,-24.4,0.0,0.0,0.0,0.0,7.4,6.0,0.0,0.0,0.0,0.0
2538.079,61.0,48.8,73.2,36.6,0.0,0.0,14.8,14.7,7.8,7.3,0.0,0.0
2538.154,73.2,85.4,61.0,97.6,0.0,0.0,14.2,13.4,7.8,5.9,0.0,0.0
2538.229,85.4,73.2,97.6,0.0,0.0,0.0,10.7,8.3,6.4,0.0,0.0,0.0
2538.302,73.2,61.0,0.0,0.0,0.0,0.0,8.3,6.3,0.0,0.0,0.0,0.0
2538.375,36.6,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0
2538.448,12.2,24.4,0.0,0.0,0.0,0.0,10.2,6.3,0.0,0.0,0.0,0.0
2538.663,-12.2,-24.4,0.0,0.0,0.0,0.0,8.3,5.3,0.0,0.0,0.0,0.0
2538.736,-12.2,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0
2539.163,12.2,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0
2539.235,-12.2,-24.4,0.0,0.0,0.0,0.0,7.4,6.9,0.0,0.0,0.0,0.0
2539.308,-48.8,-61.0,-36.6,0.0,0.0,0.0,8.5,6.9,5.2,0.0,0.0,0.0
2539.647,-61.0,-73.2,0.0,0.0,0.0,0.0,6.5,5.4,0.0,0.0,0.0,0.0
2539.738,-61.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0
2544.268,73.2,61.0,0.0,0.0,0.0,0.0,7.3,6.9,0.0,0.0,0.0,0.0
2544.341,85.4,73.2,0.0,0.0,0.0,0.0,5.9,5.6,0.0,0.0,0.0,0.0
2544.414,48.8,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0
2544.557,12.2,24.4,0.0,0.0,0.0,0.0,20.2,11.3,0.0,0.0,0.0,0.0
2544.630,12.2,24.4,36.6,0.0,0.0,0.0,11.1,10.5,7.4,0.0,0.0,0.0
2544.773,-12.2,-24.4,0.0,0.0,0.0,0.0,9.6,7.0,0.0,0.0,0.0,0.0
2545.123,12.2,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0
2545.195,12.2,-24.4,-36.6,0.0,0.0,0.0,12.5,7.3,6.3,0.0,0.0,0.0
2545.269,12.2,-24.4,0.0,0.0,0.0,0.0,6.8,5.6,0.0,0.0,0.0,0.0
2545.342,-12.2,-24.4,0.0,0.0,0.0,0.0,11.0,8.1,0.0,0.0,0.0,0.0
2545.415,-36.6,-48.8,0.0,0.0,0.0,0.0,6.5,5.1,0.0,0.0,0.0,0.0
2545.489,-48.8,-61.0,-36.6,0.0,0.0,0.0,14.5,12.7,7.8,0.0,0.0,0.0
2545.563,-61.0,-73.2,-48.8,0.0,0.0,0.0,18.1,12.8,11.1,0.0,0.0,0.0
2545.638,-61.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0
2545.782,-48.8,-36.6,-61.0,0.0,0.0,0.0,9.9,8.1,5.6,0.0,0.0,0.0
2550.676,61.0,48.8,73.2,0.0,0.0,0.0,11.0,8.7,6.6,0.0,0.0,0.0
2550.750,48.8,61.0,73.2,0.0,0.0,0.0,6.8,6.1,5.4,0.0,0.0,0.0
2550.894,61.0,73.2,48.8,0.0,0.0,0.0,10.8,8.3,7.7,0.0,0.0,0.0
2550.967,48.8,36.6,24.4,0.0,0.0,0.0,9.8,9.6,5.5,0.0,0.0,0.0
2551.041,12.2,24.4,36.6,0.0,0.0,0.0,10.1,9.3,5.1,0.0,0.0,0.0
2551.115,24.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0
2551.187,-12.2,-24.4,0.0,0.0,0.0,0.0,8.3,6.5,0.0,0.0,0.0,0.0
2551.260,-12.2,-24.4,0.0,0.0,0.0,0.0,9.6,5.7,0.0,0.0,0.0,0.0
2551.687,12.2,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0
2551.829,-24.4,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
2551.971,-61.0,-48.8,0.0,0.0,0.0,0.0,6.6,5.4,0.0,0.0,0.0,0.0
2552.045,-73.2,-61.0,-85.4,0.0,0.0,0.0,9.3,7.2,5.4,0.0,0.0,0.0
2552.119,-73.2,-85.4,-61.0,-97.6,0.0,0.0,19.7,17.6,11.0,7.2,0.0,0.0
2552.193,-73.2,-61.0,0.0,0.0,0.0,0.0,9.1,8.1,0.0,0.0,0.0,0.0
2556.448,85.4,73.2,97.6,61.0,0.0,0.0,10.4,9.5,5.5,5.1,0.0,0.0
2556.523,85.4,73.2,0.0,0.0,0.0,0.0,8.6,7.0,0.0,0.0,0.0,0.0
2556.596,61.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2556.739,12.2,24.4,0.0,0.0,0.0,0.0,9.8,7.0,0.0,0.0,0.0,0.0
2556.812,12.2,24.4,0.0,0.0,0.0,0.0,8.6,5.4,0.0,0.0,0.0,0.0
2556.886,-12.2,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0
2556.958,12.2,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0
2557.454,12.2,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0
2557.597,-48.8,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0
2557.669,-61.0,-48.8,-73.2,0.0,0.0,0.0,9.3,7.3,6.2,0.0,0.0,0.0
2557.742,-61.0,-73.2,-48.8,0.0,0.0,0.0,13.2,12.0,7.1,0.0,0.0,0.0
2557.816,-61.0,-73.2,-48.8,-85.4,0.0,0.0,13.6,13.1,6.4,5.8,0.0,0.0
2557.891,-61.0,-48.8,0.0,0.0,0.0,0.0,8.7,8.1,0.0,0.0,0.0,0.0
2557.965,-48.8,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0
2562.292,73.2,85.4,61.0,24.4,36.6,0.0,11.2,8.9,7.5,5.4,5.3,0.0
2562.367,85.4,73.2,97.6,61.0,0.0,0.0,20.9,14.7,14.3,5.3,0.0,0.0
2562.442,73.2,85.4,61.0,36.6,3110.0,0.0,8.1,5.6,5.4,5.3,5.2,0.0
2562.517,48.8,36.6,61.0,0.0,0.0,0.0,7.4,7.0,5.6,0.0,0.0,0.0
2562.592,12.2,24.4,0.0,0.0,0.0,0.0,26.1,13.8,0.0,0.0,0.0,0.0
2562.666,24.4,36.6,12.2,0.0,0.0,0.0,9.8,8.5,5.2,0.0,0.0,0.0
2563.233,-48.8,-36.6,0.0,0.0,0.0,0.0,9.2,8.9,0.0,0.0,0.0,0.0
2563.306,-12.2,-24.4,0.0,0.0,0.0,0.0,5.9,5.1,0.0,0.0,0.0,0.0
2563.378,-48.8,-61.0,3110.0,0.0,0.0,0.0,7.1,6.0,5.1,0.0,0.0,0.0
2563.522,-73.2,-61.0,0.0,0.0,0.0,0.0,8.0,7.3,0.0,0.0,0.0,0.0
2563.595,-61.0,-73.2,0.0,0.0,0.0,0.0,6.5,5.1,0.0,0.0,0.0,0.0
2567.848,85.4,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0
2568.062,36.6,24.4,12.2,48.8,0.0,0.0,8.3,8.0,5.6,5.1,0.0,0.0
2568.137,12.2,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0
2568.209,-12.2,-24.4,0.0,0.0,0.0,0.0,11.9,9.0,0.0,0.0,0.0,0.0
2568.281,-12.2,-24.4,0.0,0.0,0.0,0.0,9.3,6.0,0.0,0.0,0.0,0.0
2568.354,-24.4,-12.2,-36.6,0.0,0.0,0.0,6.9,5.9,5.1,0.0,0.0,0.0
2568.777,-12.2,-24.4,0.0,0.0,0.0,0.0,8.8,5.8,0.0,0.0,0.0,0.0
2568.851,-12.2,-24.4,0.0,0.0,0.0,0.0,9.9,7.7,0.0,0.0,0.0,0.0
2569.066,-48.8,-36.6,0.0,0.0,0.0,0.0,8.9,6.9,0.0,0.0,0.0,0.0
2569.139,-48.8,-61.0,-36.6,0.0,0.0,0.0,17.1,13.4,11.1,0.0,0.0,0.0
2569.212,-48.8,-61.0,-36.6,-73.2,0.0,0.0,15.5,15.0,6.9,6.4,0.0,0.0
2569.285,-48.8,-61.0,-36.6,0.0,0.0,0.0,11.0,10.5,5.2,0.0,0.0,0.0
2569.359,-48.8,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0
2569.430,-36.6,-24.4,0.0,0.0,0.0,0.0,5.5,5.5,0.0,0.0,0.0,0.0
2569.503,-12.2,-24.4,0.0,0.0,0.0,0.0,7.9,7.0,0.0,0.0,0.0,0.0
