Time,Range,Magnitude
613.794,126.0,2227.0
613.857,125.0,1952.0
613.92,437.0,1671.0
613.983,437.0,1665.0
614.054,437.0,1681.0
614.117,437.0,1699.0
614.18,437.0,1704.0
614.243,437.0,1696.0
614.306,437.0,1697.0
614.369,437.0,1720.0
614.432,187.0,1747.0
614.495,188.0,2113.0
614.558,189.0,2477.0
614.621,189.0,2760.0
614.684,189.0,3160.0
614.747,189.0,3259.0
614.81,189.0,3347.0
614.873,189.0,3630.0
614.936,190.0,4490.0
615.009,153.0,5458.0
615.072,153.0,5866.0
615.135,153.0,5477.0
615.198,153.0,5387.0
615.261,190.0,5251.0
615.324,189.0,5186.0
615.387,189.0,4786.0
615.45,188.0,4355.0
615.513,188.0,4075.0
615.576,188.0,3988.0
615.639,188.0,3868.0
615.702,188.0,3654.0
615.765,189.0,3157.0
615.828,190.0,2763.0
615.891,189.0,3055.0
615.954,189.0,3003.0
616.026,190.0,2853.0
616.089,153.0,2629.0
616.152,153.0,2630.0
616.215,153.0,2740.0
616.278,153.0,2586.0
616.341,153.0,2201.0
616.404,153.0,1827.0
616.467,437.0,1673.0
616.53,437.0,1696.0
616.593,437.0,1703.0
616.656,437.0,1693.0
616.719,437.0,1695.0
616.782,437.0,1711.0
616.845,437.0,1685.0
616.908,437.0,1688.0
616.971,437.0,1673.0
617.044,437.0,1651.0
617.107,437.0,1665.0
617.17,437.0,1654.0
617.233,437.0,1671.0
617.296,437.0,1673.0
617.359,437.0,1666.0
617.422,437.0,1691.0
617.485,437.0,1707.0
617.548,186.0,1868.0
617.611,185.0,2064.0
617.674,185.0,2214.0
617.737,187.0,2678.0
617.8,188.0,2880.0
617.863,189.0,3200.0
617.926,189.0,3377.0
617.989,189.0,3527.0
618.061,189.0,3884.0
618.124,190.0,4246.0
618.187,190.0,4489.0
618.25,190.0,4530.0
618.313,189.0,4395.0
618.376,189.0,4230.0
618.439,189.0,4323.0
618.502,188.0,4476.0
618.565,154.0,5877.0
618.628,189.0,3918.0
618.692,185.0,3140.0
618.756,183.0,3551.0
618.819,124.0,4439.0
618.883,154.0,4317.0
618.946,157.0,5243.0
619.019,154.0,3342.0
619.082,158.0,5542.0
619.145,155.0,3927.0
619.208,156.0,4480.0
619.272,123.0,4215.0
619.335,122.0,4390.0
619.399,154.0,3597.0
619.462,156.0,4246.0
619.525,222.0,1600.0
619.588,156.0,2934.0
619.651,155.0,2499.0
619.714,190.0,2873.0
619.777,187.0,2734.0
619.84,188.0,2087.0
619.903,157.0,4148.0
619.966,157.0,3909.0
620.039,157.0,3568.0
620.102,188.0,1870.0
620.165,437.0,1787.0
620.228,126.0,2790.0
620.291,125.0,3260.0
620.354,126.0,3244.0
620.417,128.0,2538.0
620.48,437.0,1739.0
620.543,437.0,1757.0
620.606,220.0,1857.0
620.669,221.0,2048.0
620.732,221.0,2020.0
620.795,221.0,2068.0
620.858,186.0,2340.0
620.921,187.0,2734.0
620.984,188.0,2957.0
621.056,189.0,3155.0
621.119,154.0,3606.0
621.182,154.0,4082.0
621.245,153.0,4282.0
621.309,153.0,4269.0
621.372,154.0,4322.0
621.435,154.0,4620.0
621.498,154.0,4506.0
621.561,153.0,4293.0
621.624,153.0,3897.0
621.687,153.0,3568.0
621.75,153.0,3293.0
621.813,153.0,3140.0
621.876,153.0,2785.0
621.939,153.0,2370.0
622.01,154.0,2240.0
622.073,154.0,2170.0
622.136,154.0,2119.0
622.199,190.0,2114.0
622.262,154.0,2238.0
622.325,155.0,2262.0
622.388,156.0,2319.0
622.451,155.0,1968.0
622.514,438.0,1750.0
622.577,157.0,1786.0
622.64,119.0,2087.0
622.703,120.0,2031.0
622.766,437.0,1740.0
622.829,123.0,1817.0
622.892,123.0,1981.0
622.955,124.0,2053.0
623.027,437.0,1752.0
623.09,437.0,1754.0
623.153,437.0,1759.0
623.216,437.0,1771.0
623.279,437.0,1767.0
623.342,437.0,1762.0
623.405,437.0,1748.0
623.468,437.0,1755.0
623.531,437.0,1762.0
623.594,437.0,1771.0
623.657,221.0,1923.0
623.72,222.0,2122.0
623.783,222.0,2398.0
623.846,184.0,3399.0
623.909,155.0,3712.0
623.972,126.0,2537.0
624.045,222.0,2320.0
624.108,156.0,5310.0
624.171,185.0,2263.0
624.234,121.0,2884.0
624.297,155.0,6656.0
624.361,156.0,5380.0
624.424,159.0,3580.0
624.488,156.0,5869.0
624.552,156.0,4923.0
624.615,158.0,3443.0
624.678,119.0,2889.0
624.741,119.0,3012.0
624.804,158.0,3502.0
624.867,119.0,3012.0
624.93,120.0,1925.0
625.003,185.0,1987.0
625.066,185.0,2515.0
625.129,185.0,2317.0
625.192,183.0,1962.0
625.256,439.0,1712.0
625.319,439.0,1732.0
625.382,439.0,1694.0
625.445,439.0,1660.0
625.508,438.0,1694.0
625.571,185.0,2092.0
625.634,124.0,2079.0
625.697,123.0,2443.0
625.76,121.0,4216.0
625.823,122.0,2813.0
625.886,122.0,3871.0
625.949,120.0,4748.0
626.021,157.0,3092.0
626.084,184.0,3075.0
626.147,124.0,2677.0
626.21,123.0,2371.0
626.274,438.0,1837.0
626.338,155.0,3238.0
626.401,157.0,4415.0
626.464,158.0,4658.0
626.527,121.0,4005.0
626.591,121.0,4135.0
626.654,120.0,4280.0
626.717,158.0,4001.0
626.781,158.0,3940.0
626.845,158.0,3770.0
626.909,157.0,3722.0
626.973,156.0,4386.0
627.047,155.0,5029.0
627.111,155.0,5664.0
627.175,155.0,5468.0
627.239,155.0,4788.0
627.303,154.0,4345.0
627.366,154.0,3909.0
627.43,154.0,3624.0
627.494,154.0,3621.0
627.558,155.0,3992.0
627.621,155.0,4125.0
627.685,155.0,4002.0
627.749,155.0,3847.0
627.813,155.0,3575.0
627.877,155.0,3835.0
627.941,155.0,3782.0
628.014,155.0,3403.0
628.077,155.0,3198.0
628.14,155.0,3024.0
628.203,155.0,2875.0
628.267,155.0,2917.0
628.331,156.0,2939.0
628.395,157.0,3149.0
628.458,157.0,3540.0
628.522,157.0,3872.0
628.586,157.0,3878.0
628.649,157.0,4132.0
628.713,157.0,4310.0
628.777,157.0,4545.0
628.841,157.0,4158.0
628.905,156.0,3582.0
628.969,156.0,3406.0
629.04,155.0,3490.0
629.103,154.0,3426.0
629.167,189.0,3102.0
629.231,188.0,3052.0
629.294,188.0,3158.0
629.357,189.0,3320.0
629.42,153.0,3524.0
629.483,154.0,3811.0
629.546,153.0,4235.0
629.61,154.0,3988.0
629.674,154.0,4078.0
629.737,154.0,4132.0
629.8,154.0,4151.0
629.863,154.0,4081.0
629.927,155.0,3694.0
630.0,155.0,3507.0
630.063,155.0,3431.0
630.126,154.0,3479.0
630.189,155.0,3286.0
630.252,155.0,3053.0
630.315,155.0,2989.0
630.378,155.0,3024.0
630.441,155.0,2958.0
630.504,155.0,2667.0
630.567,155.0,2697.0
630.63,152.0,2137.0
630.693,123.0,2599.0
630.756,125.0,2855.0
630.819,158.0,3583.0
630.882,153.0,2276.0
630.945,438.0,1888.0
631.019,125.0,3971.0
631.083,155.0,3143.0
631.148,123.0,5034.0
631.211,122.0,4863.0
631.275,156.0,3793.0
631.339,188.0,3126.0
631.403,62.0,2690.0
631.467,61.0,2961.0
631.531,155.0,3345.0
631.596,59.0,4055.0
631.662,155.0,3745.0
631.728,190.0,2793.0
631.791,152.0,2501.0
631.855,154.0,2067.0
631.918,60.0,1972.0
631.981,189.0,3021.0
632.054,154.0,2868.0
632.118,438.0,1915.0
632.182,438.0,1871.0
632.246,185.0,2020.0
632.31,438.0,1948.0
632.374,438.0,1955.0
632.438,158.0,3073.0
632.502,156.0,3300.0
632.566,155.0,3035.0
632.63,157.0,2253.0
632.694,120.0,1890.0
632.758,439.0,1861.0
632.822,439.0,1872.0
632.886,439.0,1865.0
632.95,438.0,1828.0
633.024,438.0,1798.0
633.088,120.0,1820.0
633.152,438.0,1787.0
633.216,438.0,1783.0
633.279,156.0,2098.0
633.342,155.0,2451.0
633.405,156.0,2192.0
633.468,157.0,1848.0
633.532,120.0,1854.0
633.596,156.0,2421.0
633.66,156.0,3150.0
633.723,155.0,3764.0
633.787,156.0,2503.0
633.851,156.0,1922.0
633.915,156.0,2604.0
633.979,156.0,2944.0
634.052,155.0,2805.0
634.116,154.0,2794.0
634.18,154.0,3089.0
634.244,154.0,3613.0
634.308,153.0,3531.0
634.372,153.0,3020.0
634.436,152.0,2873.0
634.5,153.0,3033.0
634.563,153.0,3361.0
634.626,153.0,3311.0
634.689,153.0,3251.0
634.752,153.0,3448.0
634.816,153.0,3655.0
634.88,153.0,3503.0
634.944,153.0,3278.0
635.017,152.0,3127.0
635.081,152.0,3314.0
635.145,152.0,3278.0
635.209,152.0,3188.0
635.273,152.0,3286.0
635.336,152.0,3474.0
635.399,152.0,3413.0
635.462,190.0,3248.0
635.525,190.0,2935.0
635.588,190.0,2762.0
635.652,190.0,2667.0
635.716,189.0,2330.0
635.78,188.0,1909.0
635.843,438.0,1888.0
635.906,438.0,1888.0
635.97,439.0,1873.0
636.043,439.0,1859.0
636.106,439.0,1852.0
636.17,439.0,1864.0
636.234,439.0,1865.0
636.298,439.0,1865.0
636.361,439.0,1874.0
636.425,439.0,1880.0
636.489,439.0,1879.0
636.553,439.0,1874.0
636.617,438.0,1866.0
636.681,438.0,1872.0
636.745,438.0,1876.0
636.809,438.0,1883.0
636.873,154.0,1998.0
636.937,154.0,2343.0
637.008,155.0,2810.0
637.072,154.0,2443.0
637.136,155.0,2692.0
637.2,437.0,1968.0
637.263,155.0,3340.0
637.326,155.0,2684.0
637.391,153.0,3334.0
637.453,437.0,2053.0
637.518,154.0,2881.0
637.583,188.0,2823.0
637.648,189.0,2693.0
637.711,188.0,2294.0
637.775,152.0,3719.0
637.839,439.0,1804.0
