Time,Range,Magnitude
207.97,123.0,4797.0
208.043,122.0,5342.0
208.106,122.0,5408.0
208.169,122.0,6020.0
208.232,122.0,6803.0
208.295,122.0,7327.0
208.358,123.0,7625.0
208.421,123.0,7922.0
208.484,123.0,7995.0
208.547,123.0,7734.0
208.61,123.0,7385.0
208.673,123.0,7163.0
208.736,123.0,7195.0
208.799,123.0,7097.0
208.862,122.0,6485.0
208.925,122.0,5332.0
208.988,157.0,4931.0
209.061,157.0,4789.0
209.124,156.0,4583.0
209.187,156.0,4590.0
209.25,156.0,5052.0
209.313,157.0,5581.0
209.376,158.0,5918.0
209.439,122.0,6253.0
209.502,122.0,7219.0
209.565,122.0,7667.0
209.628,122.0,7389.0
209.692,122.0,7154.0
209.755,122.0,6859.0
209.818,122.0,6525.0
209.881,122.0,5891.0
209.944,157.0,5410.0
210.018,157.0,5612.0
210.081,157.0,5725.0
210.144,156.0,6024.0
210.207,156.0,5606.0
210.27,156.0,4888.0
210.333,156.0,4432.0
210.396,157.0,4585.0
210.459,121.0,6089.0
210.522,158.0,5587.0
210.585,156.0,4311.0
210.648,186.0,3017.0
210.711,126.0,2888.0
210.774,123.0,4581.0
210.837,122.0,6631.0
210.9,156.0,3509.0
210.963,159.0,4772.0
211.036,120.0,2971.0
211.099,128.0,7293.0
211.162,125.0,5332.0
211.225,125.0,6618.0
211.288,128.0,8246.0
211.351,128.0,9349.0
211.414,125.0,2037.0
211.477,157.0,2996.0
211.54,121.0,7137.0
211.603,159.0,4050.0
211.666,124.0,4955.0
211.729,126.0,3874.0
211.792,122.0,4245.0
211.855,121.0,4870.0
211.918,121.0,4328.0
211.981,121.0,4308.0
212.054,122.0,5339.0
212.117,122.0,6164.0
212.18,122.0,7540.0
212.243,123.0,9005.0
212.306,123.0,9689.0
212.369,124.0,9669.0
212.432,124.0,9650.0
212.495,124.0,4622.0
212.558,221.0,2797.0
212.621,188.0,3472.0
212.684,122.0,6499.0
212.747,123.0,5930.0
212.81,121.0,2166.0
212.873,222.0,2596.0
212.936,156.0,3691.0
213.009,156.0,4920.0
213.072,122.0,4125.0
213.135,123.0,5920.0
213.198,122.0,6598.0
213.261,122.0,7426.0
213.324,123.0,7859.0
213.387,123.0,7597.0
213.45,123.0,7118.0
213.513,123.0,7376.0
213.576,123.0,7850.0
213.639,123.0,8172.0
213.702,123.0,7982.0
213.765,122.0,7848.0
213.828,122.0,7646.0
213.891,122.0,7605.0
213.954,122.0,7161.0
214.026,123.0,7133.0
214.089,123.0,6698.0
214.152,122.0,6869.0
214.215,188.0,2808.0
214.278,185.0,1989.0
214.341,156.0,3950.0
214.404,156.0,3653.0
214.467,123.0,3842.0
214.53,126.0,4189.0
214.593,92.0,4897.0
214.656,94.0,2961.0
214.719,59.0,2044.0
214.782,58.0,2007.0
214.845,156.0,2948.0
214.908,122.0,3210.0
214.971,121.0,2732.0
215.044,124.0,5455.0
215.107,125.0,3867.0
215.17,123.0,2610.0
215.233,123.0,5920.0
215.296,120.0,4582.0
215.359,122.0,6894.0
215.422,122.0,6910.0
215.485,123.0,7740.0
215.548,124.0,7494.0
215.611,124.0,9085.0
215.674,156.0,3030.0
215.737,123.0,2386.0
215.8,127.0,5776.0
215.863,123.0,10458.0
215.926,124.0,10354.0
216.989,122.0,6311.0
216.062,122.0,5407.0
216.125,122.0,5454.0
216.188,155.0,3752.0
216.251,189.0,3286.0
216.314,156.0,4213.0
216.377,122.0,6386.0
216.44,155.0,3506.0
216.503,186.0,3114.0
216.566,187.0,3178.0
216.629,184.0,2706.0
216.692,122.0,3529.0
216.755,122.0,5230.0
216.818,123.0,5608.0
216.881,123.0,4670.0
216.944,123.0,4961.0
217.017,123.0,5587.0
217.08,123.0,5878.0
217.143,123.0,6370.0
217.206,123.0,6963.0
217.269,123.0,7541.0
217.332,122.0,7288.0
217.395,158.0,6947.0
217.458,157.0,6453.0
217.521,156.0,5934.0
217.584,156.0,5767.0
217.647,156.0,5417.0
217.71,155.0,5270.0
217.773,156.0,5490.0
217.836,156.0,5372.0
217.899,157.0,5432.0
217.962,157.0,5351.0
218.035,157.0,5510.0
218.098,158.0,5503.0
218.161,122.0,5415.0
218.224,122.0,5239.0
218.287,123.0,4864.0
218.35,124.0,4629.0
218.413,125.0,4049.0
218.476,126.0,3622.0
218.539,127.0,3225.0
218.602,128.0,2950.0
218.665,128.0,2880.0
218.728,128.0,2922.0
218.791,128.0,3011.0
218.854,127.0,3127.0
218.917,126.0,3150.0
218.98,127.0,2738.0
219.053,128.0,2314.0
219.116,439.0,2139.0
219.179,130.0,2303.0
219.242,129.0,2600.0
219.305,128.0,2892.0
219.368,126.0,3307.0
219.431,125.0,4022.0
219.494,124.0,4793.0
219.557,124.0,5276.0
219.62,123.0,5668.0
219.683,123.0,5518.0
219.746,123.0,4991.0
219.809,123.0,4525.0
219.872,123.0,4104.0
219.935,123.0,3527.0
220.008,123.0,3169.0
220.071,123.0,3109.0
220.134,123.0,3133.0
220.198,124.0,3315.0
220.261,123.0,3264.0
220.324,123.0,3467.0
220.387,123.0,3645.0
220.45,123.0,4007.0
220.513,123.0,4528.0
220.576,123.0,4972.0
220.639,122.0,5103.0
220.702,122.0,5425.0
220.765,122.0,5416.0
220.828,122.0,5541.0
220.891,122.0,5614.0
220.954,122.0,5779.0
221.026,122.0,6039.0
221.089,122.0,6103.0
221.152,122.0,6113.0
221.215,122.0,6229.0
221.278,122.0,6321.0
221.341,158.0,6562.0
221.404,122.0,6580.0
221.467,122.0,6602.0
221.53,122.0,6518.0
221.593,122.0,6325.0
221.656,123.0,5978.0
221.719,123.0,5644.0
221.782,124.0,5340.0
221.845,123.0,5167.0
221.908,124.0,4906.0
221.971,125.0,4464.0
222.044,125.0,4201.0
222.107,125.0,4096.0
222.17,125.0,4289.0
222.233,125.0,4500.0
222.296,125.0,4430.0
222.359,125.0,4537.0
222.422,125.0,4544.0
222.485,124.0,4668.0
222.548,124.0,4553.0
222.611,125.0,4453.0
222.674,125.0,4130.0
222.737,126.0,3909.0
222.8,127.0,3858.0
222.863,126.0,4296.0
222.926,125.0,4833.0
223.989,124.0,5137.0
223.062,124.0,5394.0
223.125,124.0,5334.0
223.188,123.0,5152.0
223.251,123.0,5209.0
223.314,123.0,5151.0
223.377,123.0,5206.0
223.44,123.0,5143.0
223.503,123.0,4963.0
223.566,124.0,4955.0
223.629,124.0,5012.0
223.692,123.0,5314.0
223.755,123.0,5662.0
223.818,123.0,5623.0
223.881,122.0,5651.0
223.944,122.0,5786.0
224.017,122.0,5863.0
224.08,122.0,5970.0
224.143,122.0,6023.0
224.206,122.0,6026.0
224.269,122.0,6016.0
224.332,122.0,6236.0
224.395,122.0,6483.0
224.458,157.0,6894.0
224.521,157.0,6760.0
224.584,157.0,6415.0
224.647,157.0,6362.0
224.71,158.0,6398.0
224.773,158.0,6306.0
224.836,121.0,5972.0
224.899,122.0,5613.0
224.962,122.0,4901.0
225.035,122.0,4640.0
225.098,123.0,4514.0
225.161,125.0,3678.0
225.224,124.0,3751.0
225.287,123.0,4209.0
225.35,125.0,3593.0
225.413,123.0,3969.0
225.476,123.0,4110.0
225.539,128.0,2920.0
225.602,125.0,2722.0
225.665,122.0,4173.0
225.728,125.0,3676.0
225.791,93.0,2693.0
225.854,127.0,2919.0
225.917,124.0,3678.0
225.98,123.0,4066.0
226.053,123.0,4099.0
226.116,122.0,3694.0
226.179,122.0,3865.0
226.242,121.0,3889.0
226.305,158.0,3827.0
226.368,158.0,3952.0
226.431,156.0,4858.0
226.494,155.0,6447.0
226.557,155.0,7429.0
226.62,155.0,7428.0
226.683,155.0,7459.0
226.746,155.0,7049.0
226.809,156.0,5722.0
226.872,157.0,4777.0
226.935,156.0,5302.0
227.009,156.0,6666.0
227.072,156.0,7724.0
227.135,156.0,8347.0
227.198,156.0,8492.0
227.261,156.0,8116.0
227.324,157.0,7765.0
227.387,157.0,7815.0
227.45,157.0,7799.0
227.513,157.0,7370.0
227.576,157.0,6598.0
227.639,157.0,6261.0
227.702,157.0,6031.0
227.765,156.0,6150.0
227.828,156.0,6206.0
227.891,156.0,6205.0
227.954,156.0,6039.0
228.027,156.0,6123.0
228.09,156.0,6301.0
228.153,156.0,6330.0
228.216,156.0,6267.0
228.279,155.0,5916.0
228.342,155.0,5411.0
228.405,155.0,4827.0
228.468,155.0,5138.0
228.531,189.0,5275.0
228.594,189.0,4992.0
228.657,189.0,4608.0
228.72,154.0,5167.0
228.783,156.0,6125.0
228.846,157.0,6585.0
228.909,121.0,5855.0
228.972,131.0,4080.0
229.043,91.0,6672.0
229.106,126.0,9230.0
229.169,91.0,4126.0
229.232,130.0,5876.0
229.295,127.0,8503.0
229.358,127.0,6819.0
