Time,Range,Magnitude
60.064,128.0,3975.0
60.128,129.0,3936.0
60.192,128.0,3916.0
60.256,128.0,4092.0
60.319,126.0,4313.0
60.382,126.0,4370.0
60.445,127.0,4141.0
60.509,128.0,3556.0
60.573,91.0,3192.0
60.637,92.0,3531.0
60.701,92.0,3883.0
60.765,91.0,4472.0
60.829,127.0,4931.0
60.893,126.0,5648.0
60.957,125.0,6472.0
61.031,124.0,7492.0
61.095,123.0,8265.0
61.159,123.0,9067.0
61.223,122.0,9746.0
61.287,122.0,10205.0
61.35,122.0,10316.0
61.414,122.0,10250.0
61.478,122.0,10150.0
61.542,122.0,9972.0
61.606,122.0,9904.0
61.669,122.0,9878.0
61.732,122.0,9813.0
61.795,122.0,9688.0
61.858,122.0,9372.0
61.921,122.0,9110.0
61.984,122.0,8910.0
62.059,122.0,8897.0
62.123,122.0,8854.0
62.187,122.0,8605.0
62.251,122.0,8260.0
62.314,122.0,7687.0
62.377,122.0,6777.0
62.44,123.0,6058.0
62.503,123.0,5534.0
62.566,124.0,5201.0
62.63,125.0,4716.0
62.694,92.0,4341.0
62.758,93.0,4327.0
62.822,93.0,4219.0
62.886,93.0,3990.0
62.95,93.0,3838.0
63.024,94.0,3967.0
63.087,93.0,4085.0
63.15,93.0,4084.0
63.213,92.0,4152.0
63.276,91.0,4250.0
63.339,91.0,4335.0
63.403,91.0,4213.0
63.466,91.0,4047.0
63.53,91.0,4187.0
63.594,91.0,4018.0
63.658,91.0,3736.0
63.722,91.0,3673.0
63.786,91.0,3768.0
63.85,91.0,3887.0
63.914,90.0,3878.0
63.978,130.0,3951.0
64.053,90.0,4077.0
64.117,130.0,4145.0
64.181,129.0,4148.0
64.245,129.0,4324.0
64.309,128.0,4526.0
64.373,128.0,4396.0
64.436,127.0,4384.0
64.499,126.0,4630.0
64.562,125.0,5260.0
64.625,125.0,5686.0
64.689,124.0,6158.0
64.753,124.0,6688.0
64.817,124.0,7322.0
64.881,124.0,7912.0
64.944,123.0,8325.0
65.018,123.0,8514.0
65.082,123.0,8630.0
65.145,123.0,8782.0
65.209,124.0,8991.0
65.272,123.0,9445.0
65.335,123.0,9746.0
65.398,123.0,9907.0
65.462,123.0,9977.0
65.526,123.0,9981.0
65.59,122.0,9997.0
65.654,122.0,10036.0
65.717,122.0,9929.0
65.78,122.0,9480.0
65.843,122.0,9019.0
65.906,122.0,8556.0
65.969,123.0,8242.0
66.044,123.0,8093.0
66.108,123.0,7934.0
66.172,123.0,7714.0
66.236,123.0,7264.0
66.3,124.0,6739.0
66.363,124.0,6389.0
66.426,124.0,6232.0
66.49,124.0,6071.0
66.553,125.0,5851.0
66.617,125.0,5505.0
66.681,127.0,5011.0
66.745,92.0,4742.0
66.809,92.0,4570.0
66.873,93.0,4448.0
66.937,93.0,4361.0
67.009,93.0,4434.0
67.072,93.0,4602.0
67.135,92.0,4677.0
67.198,91.0,4900.0
67.262,126.0,5278.0
67.326,126.0,5457.0
67.389,126.0,5571.0
67.452,126.0,5546.0
67.516,126.0,5622.0
67.58,125.0,5699.0
67.644,125.0,5642.0
67.708,125.0,5735.0
67.772,125.0,5791.0
67.836,125.0,5912.0
67.9,126.0,5953.0
67.963,126.0,5951.0
68.037,125.0,6011.0
68.1,125.0,6022.0
68.164,125.0,5826.0
68.228,125.0,5890.0
68.292,126.0,5543.0
68.356,125.0,5520.0
68.42,125.0,5460.0
68.483,125.0,5603.0
68.546,124.0,6098.0
68.609,124.0,6713.0
68.672,123.0,7280.0
68.735,123.0,7856.0
68.799,123.0,8553.0
68.863,122.0,9383.0
68.927,122.0,10084.0
69.002,122.0,10510.0
69.066,122.0,10336.0
69.13,123.0,10042.0
69.194,123.0,9743.0
69.257,124.0,9691.0
69.32,124.0,9596.0
69.384,125.0,9484.0
69.448,125.0,9481.0
69.512,124.0,9432.0
69.575,124.0,9425.0
69.638,124.0,9296.0
69.702,124.0,9131.0
69.766,124.0,8816.0
69.829,124.0,8266.0
69.892,124.0,7889.0
69.955,125.0,7418.0
70.029,125.0,7140.0
70.092,125.0,6767.0
70.156,125.0,6453.0
70.22,125.0,6275.0
70.284,126.0,6091.0
70.348,126.0,5924.0
70.412,126.0,5842.0
70.476,126.0,5754.0
70.54,127.0,5587.0
70.604,127.0,5513.0
70.667,128.0,5313.0
70.73,128.0,5488.0
70.794,127.0,5556.0
70.857,127.0,5560.0
70.921,127.0,5602.0
70.985,127.0,5563.0
71.059,127.0,5649.0
71.122,127.0,5666.0
71.185,127.0,5733.0
71.248,126.0,5851.0
71.311,126.0,6131.0
71.374,125.0,6255.0
71.437,125.0,6340.0
71.501,125.0,6463.0
71.565,124.0,6564.0
71.629,124.0,6414.0
71.692,125.0,5790.0
71.756,126.0,5413.0
71.82,126.0,5471.0
71.883,126.0,5804.0
71.947,125.0,6265.0
72.022,124.0,6645.0
72.086,124.0,7126.0
72.15,123.0,7647.0
72.214,122.0,7993.0
72.278,122.0,8211.0
72.342,122.0,8374.0
72.406,122.0,8413.0
72.469,122.0,8487.0
72.532,122.0,8849.0
72.595,122.0,9041.0
72.659,123.0,9215.0
72.722,123.0,9339.0
72.785,123.0,9289.0
72.848,123.0,9102.0
72.911,123.0,8904.0
72.974,124.0,8816.0
