Time,Range,Magnitude
485.153,154.0,2885.0
485.216,154.0,2890.0
485.28,154.0,2821.0
485.344,154.0,2668.0
485.408,154.0,2634.0
485.472,154.0,2333.0
485.535,153.0,2319.0
485.599,153.0,2446.0
485.663,154.0,3065.0
485.727,154.0,3094.0
485.791,154.0,3153.0
485.855,154.0,3385.0
485.919,154.0,3621.0
485.983,155.0,3861.0
486.057,190.0,2914.0
486.121,189.0,2253.0
486.185,188.0,2125.0
486.248,186.0,2169.0
486.311,186.0,2268.0
486.374,187.0,2375.0
486.437,188.0,2409.0
486.5,188.0,2342.0
486.563,188.0,2268.0
486.626,188.0,2276.0
486.69,189.0,2496.0
486.753,153.0,2728.0
486.817,154.0,3034.0
486.881,154.0,3321.0
486.945,155.0,3761.0
487.018,156.0,3652.0
487.082,155.0,3419.0
487.146,154.0,3077.0
487.21,154.0,2860.0
487.274,155.0,3273.0
487.337,156.0,3746.0
487.401,156.0,4066.0
487.465,156.0,4068.0
487.529,156.0,3920.0
487.593,154.0,3485.0
487.657,153.0,2978.0
487.72,190.0,2558.0
487.783,153.0,2383.0
487.846,155.0,2701.0
487.91,155.0,2827.0
487.974,154.0,2608.0
488.048,190.0,2162.0
488.112,189.0,1926.0
488.176,189.0,2097.0
488.24,190.0,2390.0
488.304,190.0,2510.0
488.368,190.0,2481.0
488.432,189.0,2269.0
488.495,189.0,2006.0
488.558,189.0,1835.0
488.621,438.0,1789.0
488.684,191.0,1791.0
488.748,152.0,1963.0
488.812,152.0,1943.0
488.876,190.0,2000.0
488.94,189.0,2008.0
489.014,188.0,1957.0
489.077,438.0,1819.0
489.14,438.0,1796.0
489.203,186.0,1976.0
489.267,187.0,2409.0
489.33,188.0,2754.0
489.394,188.0,3024.0
489.457,189.0,3287.0
489.52,190.0,3690.0
489.583,153.0,3891.0
489.646,154.0,3902.0
489.709,155.0,3704.0
489.773,156.0,3232.0
489.837,156.0,2759.0
489.901,157.0,2208.0
489.965,158.0,1679.0
490.038,439.0,1670.0
490.102,439.0,1623.0
490.166,439.0,1621.0
490.23,439.0,1685.0
490.294,438.0,1769.0
490.358,438.0,1775.0
490.422,438.0,1729.0
490.485,439.0,1725.0
490.548,439.0,1769.0
490.611,439.0,1757.0
490.674,438.0,1751.0
490.738,189.0,1932.0
490.802,190.0,2421.0
490.866,190.0,2682.0
490.93,190.0,2575.0
491.004,190.0,2531.0
491.068,190.0,3463.0
491.132,190.0,3245.0
491.196,189.0,2408.0
491.26,189.0,4129.0
491.324,188.0,2336.0
491.388,439.0,1722.0
491.452,439.0,1657.0
491.515,189.0,4137.0
491.579,189.0,3399.0
491.643,153.0,5067.0
491.706,189.0,4242.0
491.769,153.0,4725.0
491.832,156.0,2993.0
491.895,188.0,3474.0
491.959,154.0,4194.0
492.032,189.0,5075.0
492.095,189.0,2672.0
492.159,155.0,1868.0
492.223,153.0,1952.0
492.287,187.0,3247.0
492.351,438.0,1846.0
492.415,189.0,3573.0
492.479,189.0,2369.0
492.543,153.0,2319.0
492.607,153.0,3117.0
492.671,187.0,2056.0
492.734,189.0,4211.0
492.798,189.0,1895.0
492.862,153.0,3241.0
492.926,153.0,4235.0
492.989,153.0,3937.0
493.061,153.0,3864.0
493.125,153.0,3953.0
493.188,152.0,4432.0
493.251,190.0,5809.0
493.314,189.0,4975.0
493.377,188.0,2730.0
493.441,154.0,5453.0
493.505,157.0,3456.0
493.569,120.0,2615.0
493.633,155.0,4449.0
493.697,154.0,5742.0
493.761,157.0,3822.0
493.825,438.0,1852.0
493.889,187.0,2406.0
493.953,186.0,3046.0
494.026,187.0,3470.0
494.09,189.0,3500.0
494.154,190.0,3568.0
494.218,154.0,3538.0
494.281,155.0,3195.0
494.345,157.0,2735.0
494.409,157.0,3060.0
494.472,155.0,3802.0
494.535,154.0,4180.0
494.598,154.0,4179.0
494.661,154.0,4211.0
494.724,153.0,4059.0
494.788,153.0,3810.0
494.852,153.0,3467.0
494.916,153.0,3113.0
494.98,154.0,2632.0
495.054,154.0,2174.0
495.118,439.0,1881.0
495.182,439.0,1899.0
495.246,438.0,1906.0
495.31,438.0,1895.0
495.373,438.0,1875.0
495.437,438.0,1836.0
495.501,438.0,1809.0
495.565,155.0,1874.0
495.629,190.0,2075.0
495.693,189.0,2076.0
495.757,190.0,2085.0
495.82,190.0,2120.0
495.883,153.0,2126.0
495.946,154.0,2358.0
496.019,155.0,2304.0
496.083,155.0,2331.0
496.147,155.0,2707.0
496.211,156.0,2928.0
496.275,156.0,2868.0
496.339,157.0,3086.0
496.403,157.0,3056.0
496.467,157.0,2868.0
496.531,157.0,2531.0
496.595,155.0,2159.0
496.659,188.0,2050.0
496.723,188.0,2116.0
496.787,189.0,2614.0
496.851,154.0,3003.0
496.914,155.0,3479.0
496.978,156.0,3696.0
497.052,157.0,3842.0
497.116,157.0,3817.0
497.179,158.0,3933.0
497.242,121.0,3901.0
497.306,121.0,3607.0
497.369,121.0,3425.0
497.433,121.0,3316.0
497.497,158.0,3206.0
497.561,157.0,2843.0
497.625,157.0,2800.0
497.689,156.0,2811.0
497.753,156.0,2719.0
497.817,155.0,2686.0
497.881,154.0,2545.0
497.945,153.0,2429.0
498.018,189.0,2245.0
498.082,188.0,2114.0
498.146,187.0,2044.0
498.21,186.0,2112.0
498.274,185.0,2048.0
498.338,185.0,2064.0
498.402,185.0,2176.0
498.465,187.0,2585.0
498.528,188.0,2897.0
498.591,189.0,2974.0
498.654,189.0,3076.0
498.718,155.0,3035.0
498.782,156.0,2936.0
498.846,156.0,2631.0
498.91,122.0,2668.0
498.974,122.0,2987.0
499.048,122.0,3155.0
499.112,122.0,3286.0
499.176,121.0,3282.0
499.24,121.0,3072.0
499.304,157.0,2947.0
499.368,156.0,3171.0
499.432,155.0,3506.0
499.496,155.0,3746.0
499.56,155.0,4229.0
499.624,155.0,4369.0
499.688,155.0,4273.0
499.752,155.0,4329.0
499.816,155.0,4298.0
499.879,156.0,4399.0
499.942,157.0,4501.0
500.013,157.0,4578.0
500.076,158.0,4493.0
500.139,121.0,4499.0
500.203,122.0,4333.0
500.267,122.0,4153.0
500.331,123.0,4127.0
500.395,123.0,4470.0
500.458,122.0,4751.0
500.522,122.0,4759.0
500.586,123.0,4108.0
500.65,156.0,4210.0
500.714,156.0,4815.0
500.777,156.0,4862.0
500.841,157.0,4106.0
500.904,156.0,2882.0
500.968,438.0,1787.0
501.041,438.0,1755.0
501.104,155.0,3367.0
501.167,155.0,4426.0
501.23,155.0,5030.0
501.293,155.0,5078.0
501.356,155.0,5151.0
501.42,155.0,5053.0
501.484,155.0,4980.0
501.548,155.0,4915.0
501.612,156.0,4959.0
501.676,157.0,5167.0
501.74,157.0,5267.0
501.803,157.0,5227.0
501.867,157.0,5160.0
501.931,156.0,4635.0
502.005,155.0,4014.0
502.069,154.0,3387.0
502.133,189.0,3256.0
502.197,188.0,3129.0
502.261,188.0,3096.0
502.325,188.0,3155.0
502.389,187.0,3130.0
502.452,187.0,3136.0
502.515,188.0,3305.0
502.578,189.0,3556.0
502.642,190.0,3769.0
502.706,154.0,4026.0
502.77,154.0,4114.0
502.833,155.0,4250.0
502.896,155.0,4467.0
502.96,156.0,4591.0
503.033,156.0,4738.0
503.096,156.0,4835.0
503.159,157.0,4991.0
503.222,157.0,5172.0
503.285,157.0,5250.0
503.348,157.0,5346.0
503.411,157.0,5378.0
503.474,157.0,5268.0
503.537,156.0,5010.0
503.6,154.0,4540.0
503.663,153.0,4162.0
503.726,190.0,4005.0
503.789,189.0,3928.0
503.852,190.0,3943.0
503.915,154.0,4004.0
503.978,155.0,4114.0
504.052,155.0,4089.0
504.116,156.0,4225.0
504.18,157.0,4337.0
504.244,122.0,4824.0
504.308,122.0,5145.0
504.372,121.0,5395.0
504.436,122.0,5649.0
504.5,122.0,5547.0
504.564,122.0,4937.0
504.628,123.0,4138.0
504.692,126.0,3028.0
504.756,59.0,2817.0
504.82,59.0,2868.0
504.884,126.0,3175.0
504.948,123.0,4167.0
505.022,158.0,4642.0
505.086,157.0,4831.0
505.149,157.0,4595.0
505.212,157.0,4443.0
505.275,156.0,4272.0
505.339,155.0,3986.0
505.402,154.0,3670.0
505.466,190.0,3417.0
505.53,188.0,3189.0
505.593,187.0,3064.0
505.657,186.0,2808.0
505.72,187.0,2831.0
505.783,187.0,2786.0
505.847,186.0,2489.0
505.911,184.0,2388.0
505.975,184.0,2437.0
506.048,185.0,2742.0
506.112,184.0,2744.0
506.176,185.0,2860.0
506.24,186.0,3001.0
506.304,187.0,3128.0
506.368,187.0,3145.0
506.432,188.0,3331.0
506.495,188.0,3815.0
506.558,189.0,4023.0
506.621,189.0,4191.0
506.684,153.0,4123.0
506.748,155.0,4339.0
506.811,156.0,4643.0
506.875,157.0,4952.0
506.939,122.0,5274.0
507.013,122.0,5438.0
507.077,123.0,5168.0
507.141,123.0,4900.0
507.205,126.0,3735.0
507.268,127.0,2817.0
507.331,155.0,3568.0
507.395,157.0,4958.0
507.458,121.0,4387.0
507.521,122.0,3469.0
507.585,124.0,2873.0
507.649,125.0,2315.0
507.713,125.0,2360.0
507.777,127.0,1947.0
